    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.1   -0.1   1600   1614   43.2   44.7    1.5   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.8    2.0
   1990      1   48.1   49.8    1.7    0.8   1990   2032   41.1   43.4    2.4   1410   1382   42.4   44.8    2.3   1800   1800   48.3   49.9    1.6
   1991      1   48.4   50.7    2.2   -0.9   2310   2341   47.3   49.6    2.3   1640   1651   42.8   45.9    3.1   1960   1960   53.0   54.4    1.4
   1992      1   51.4   53.9    2.5    0.2   2860   2921   44.8   47.3    2.5   1720   1690   45.9   48.2    2.3   2270   2270   51.9   54.6    2.8
   1993      1   54.4   56.8    2.4    0.5   3550   3626   48.9   51.1    2.2   2000   1985   50.5   52.2    1.7   2690   2690   54.3   57.2    2.9
   1994      1   57.1   59.5    2.5    0.9   3870   3955   51.9   54.2    2.3   2660   2651   52.0   54.1    2.1   2980   2980   57.5   60.1    2.6
   1995      1   59.3   61.9    2.7   -0.7   4200   4275   57.4   59.7    2.3   2220   2230   58.0   60.0    2.0   2550   2550   59.0   61.9    2.9
   1996      1   56.4   60.0    3.6   -2.1   4020   4040   60.0   63.6    3.5   2780   2835   52.6   54.4    1.8   2600   2600   61.2   65.8    4.6
   1997      1   58.3   61.1    2.9   -0.5   4210   4239   56.3   59.1    2.8   2040   2031   54.1   55.6    1.5   2230   2230   59.6   63.2    3.6
   1998      1   64.1   66.3    2.2   -0.2   3320   3380   57.5   60.0    2.5   4430   4399   57.4   59.4    2.0   3540   3540   62.8   65.5    2.7
   1999      1   72.7   74.2    1.5   -3.0    680    705   61.7   63.9    2.2   3010   3045   35.9   37.0    1.2    370    370   66.9   69.0    2.2
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.3    1.9    680    715  105.0  104.5   -0.5     10     10   75.4   76.9    1.5
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   70.7   22.7   30.7    120    125  112.1   67.6  -44.5     40     30   56.5   60.6    4.2    150    150  178.0  355.1  177.1
   2003      1   43.3   55.2   11.9   23.5    220    234   42.1   43.3    1.2    150    141   38.9   39.0    0.0    250    250   50.9   74.3   23.4
   2004      1   63.9   67.5    3.7    2.8    750    758   59.9   61.8    1.9    500    506   65.7   66.7    1.0   1030   1030   46.2   58.6   12.4
   2005      1   70.3   70.9    0.6   -4.1    940    932   69.5   71.7    2.3   1440   1456   70.9   71.4    0.5   1630   1630   67.4   71.3    3.9
   2006      1   70.8   71.7    0.9   -5.0    720    722   73.9   74.6    0.7   1460   1450   72.3   73.0    0.7   1240   1240   73.6   74.5    0.9
   2007      1   68.3   69.8    1.5   -3.8    920    907   77.3   77.9    0.6   1100   1115   72.6   73.5    0.9   1300   1300   74.3   75.5    1.2
   2008      1   83.2   84.0    0.7   -8.1    810    803   76.3   77.8    1.5   1290   1284   84.4   85.3    0.9   1180   1180   72.0   73.5    1.6
   2009      1   76.9   77.0    0.1   -1.2    930    925   81.2   81.5    0.3   1260   1258   74.4   74.6    0.2   1380   1380   87.8   88.1    0.3
   2010      1   72.1   72.5    0.5   -1.0    990    976   83.3   83.7    0.4   1510   1519   78.2   78.9    0.7   1570   1570   79.9   80.0    0.1
   2011      1   81.5   82.4    0.9   -2.5    890    892   75.1   75.4    0.3   1280   1264   79.9   80.6    0.6   1180   1180   75.1   75.5    0.4
   2012      1   84.7   84.0   -0.8  -13.3    830    825   81.2   83.5    2.3   1270   1277   81.7   82.8    1.0   1210   1210   83.8   84.9    1.1
   2013      1   85.8   86.4    0.6   -7.1   1080   1095   82.7   82.9    0.2   1140   1120   83.0   83.6    0.7   1390   1390   86.3   86.3    0.0
   2014      1   79.5   81.0    1.5   -4.5    810    816   91.1   91.4    0.2   1550   1559   85.7   86.7    1.0   1280   1280   88.9   89.2    0.2
   2015      1   84.9   85.9    1.0   -3.6   1360   1366    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.0    0.8
   2016      1    0.0   88.9   88.9   41.6      0   1916    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.0   89.0
   2017      1    0.0   91.3   91.3   42.9      0   2466    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.0   92.0
   2018      1    0.0   93.4   93.4   44.0      0   3016    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.5   95.5   45.2      0   3566    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.8   96.8
   2020      1    0.0   97.5   97.5   46.3      0   4116    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.8   98.8
   2021      1    0.0   99.4   99.4   47.3      0   4666    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.8  100.8
   2022      1    0.0  101.4  101.4   48.5      0   5216    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.9  102.9
   2023      1    0.0  103.3  103.3   49.6      0   5766    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.9  104.9
   2024      1    0.0  105.4  105.4   50.8      0   6316    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.0  107.0
   2025      1    0.0  107.4  107.4   52.0      0   6866    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.0  109.0
   2026      1    0.0  109.4  109.4   53.3      0   7416    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.1  111.1
   2027      1    0.0  111.5  111.5   54.7      0   7966    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.2  113.2
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.4    990    999   22.8   23.0    0.2     90     80   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.8    0.4    0.5   1010   1025   25.1   24.9   -0.1     60     54   21.1   21.3    0.2     80     80   28.8   29.2    0.4
   1991      2   30.9   31.5    0.6    0.6   1050   1071   26.6   26.5   -0.2     60     54   21.2   21.3    0.1    100    100   31.6   32.2    0.6
   1992      2   32.4   33.3    0.9    1.0   1050   1071   27.7   32.4    4.8     50     50   21.9   21.9    0.0     50     50   32.7   33.8    1.1
   1993      2   34.2   35.3    1.1    1.1   1070   1098   30.4   30.1   -0.4     80     73   24.2   24.3    0.0    100    100   34.9   36.0    1.1
   1994      2   34.1   35.2    1.2    1.3   1110   1133   37.1   38.4    1.3     90     95   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.8    1.5    1.4   1110   1141   30.8   30.4   -0.4     60     52   23.4   23.4    0.0     60     60   35.7   37.2    1.5
   1996      2   37.1   38.8    1.8    1.3   1040   1069   37.8   39.3    1.5     90     92   31.0   31.0    0.0     20     20   37.2   39.0    1.8
   1997      2   40.5   42.4    1.9    1.3    920    964   35.4   35.8    0.4    130    115   38.3   38.5    0.2     10     10   39.9   41.7    1.8
   1998      2   43.9   45.9    2.1    1.4    790    834   41.6   42.4    0.8    130    130    0.0    NaN    NaN      0      0   43.5   45.5    1.9
   1999      2   38.6   40.0    1.4    1.6   1490   1543   35.0   34.7   -0.3    160    151   32.2   32.2    0.0    860    860   44.8   47.0    2.2
   2000      2   37.5   38.6    1.1    2.2   2030   2082   36.1   36.7    0.5    350    351   32.5   32.5    0.1    890    890   40.2   41.6    1.5
   2001      2   40.5   41.7    1.1    2.3   2080   2141   35.8   35.3   -0.5    210    201   36.2   36.2    0.0    260    260   40.6   41.7    1.1
   2002      2   44.4   45.6    1.2    2.9   2010   2074   37.5   37.8    0.3    190    187   37.0   37.0    0.0    120    120   44.2   45.4    1.2
   2003      2   47.2   48.5    1.3    2.9   2070   2140   42.2   41.0   -1.2    100     94   38.1   38.1   -0.0    160    160   47.6   48.9    1.3
   2004      2   50.7   52.1    1.4    3.3   1990   2066   43.8   43.5   -0.4    160    154   38.4   38.4   -0.0     80     80   50.6   52.0    1.3
   2005      2   53.3   54.9    1.5    3.4   1930   2001   55.4   56.1    0.7    140    145   44.8   44.7   -0.0     80     80   53.8   55.4    1.5
   2006      2   56.8   58.5    1.7    3.7   1910   1990   53.0   50.5   -2.5     80     71   48.8   48.8   -0.0     60     60   56.9   58.5    1.6
   2007      2   59.4   61.4    2.0    5.0   1890   1973   58.8   58.1   -0.7    140    137   46.1   46.1   -0.0    120    120   60.2   62.1    1.9
   2008      2   61.9   64.1    2.2    5.3   1920   2013   61.5   55.4   -6.1     50     40   47.2   47.2   -0.0     80     80   62.5   64.6    2.1
   2009      2   64.9   67.4    2.5    5.8   1880   1976   61.8   60.2   -1.6    160    157   48.6   48.6   -0.0    120    120   65.7   68.0    2.3
   2010      2   66.5   69.4    3.0    6.7   1890   1991   66.3   61.3   -5.0    100     95   44.7   44.7   -0.0    110    110   67.7   70.4    2.7
   2011      2   68.8   72.2    3.4    7.7   1880   1985   70.9   66.5   -4.4     90     86   56.2   56.2    0.0     80     80   69.4   72.6    3.2
   2012      2   70.2   74.3    4.1    8.3   1880   1987   73.5   68.7   -4.8    110    108   47.5   47.6    0.0    110    110   71.8   75.5    3.7
   2013      2   71.3   75.9    4.6    9.8   1930   2051   67.6   62.4   -5.2    100     86   49.8   49.8   -0.0    150    150   72.8   77.3    4.5
   2014      2   72.7   77.9    5.2   12.2   1810   1921   75.5   78.3    2.9    220    230   51.5   51.5   -0.0    100    100   74.1   79.2    5.1
   2015      2   75.6   81.0    5.4   13.1   1830   1941    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.2    5.4
   2016      2    0.0   84.3   84.3   42.8      0   1961    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   84.6   84.6
   2017      2    0.0   87.6   87.6   45.0      0   1981    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   87.9   87.9
   2018      2    0.0   91.1   91.1   47.4      0   2001    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   91.4   91.4
   2019      2    0.0   94.9   94.9   50.6      0   2021    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   95.3   95.3
   2020      2    0.0   98.9   98.9   54.1      0   2041    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   99.3   99.3
   2021      2    0.0  103.1  103.1   57.5      0   2061    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  103.6  103.6
   2022      2    0.0  107.4  107.4   60.8      0   2081    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  107.9  107.9
   2023      2    0.0  112.0  112.0   64.5      0   2101    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  112.5  112.5
   2024      2    0.0  116.8  116.8   68.4      0   2121    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  117.3  117.3
   2025      2    0.0  121.8  121.8   72.4      0   2141    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  122.4  122.4
   2026      2    0.0  126.9  126.9   76.3      0   2161    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  127.5  127.5
   2027      2    0.0  132.4  132.4   80.8      0   2181    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  133.0  133.0
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.6    0.9    0.7    830    839   33.0   36.7    3.7     60     53   34.3   34.3   -0.0     30     30   40.4   41.5    1.1
