    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.1   -0.1   1600   1614   43.2   44.7    1.5   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.8    2.0
   1990      1   48.1   49.9    1.8    1.0   1990   2033   41.1   43.3    2.3   1410   1381   42.4   44.8    2.3   1800   1800   48.3   50.0    1.7
   1991      1   48.4   50.9    2.5   -0.5   2310   2346   47.3   49.4    2.2   1640   1647   42.8   45.9    3.1   1960   1960   53.0   54.6    1.6
   1992      1   51.4   54.0    2.6    0.3   2860   2932   44.8   47.4    2.6   1720   1684   45.9   48.2    2.3   2270   2270   51.9   54.9    3.0
   1993      1   54.4   57.0    2.5    0.7   3550   3642   48.9   51.0    2.1   2000   1980   50.5   52.2    1.7   2690   2690   54.3   57.3    3.0
   1994      1   57.1   59.7    2.6    1.2   3870   3961   51.9   54.2    2.3   2660   2661   52.0   54.1    2.1   2980   2980   57.5   60.3    2.8
   1995      1   59.3   62.0    2.8   -0.5   4200   4276   57.4   59.7    2.3   2220   2235   58.0   60.0    2.0   2550   2550   59.0   62.0    3.0
   1996      1   56.4   60.0    3.6   -2.1   4020   4027   60.0   63.7    3.7   2780   2849   52.6   54.4    1.8   2600   2600   61.2   65.9    4.7
   1997      1   58.3   61.0    2.7   -0.7   4210   4222   56.3   59.3    3.0   2040   2035   54.1   55.6    1.5   2230   2230   59.6   63.1    3.5
   1998      1   64.1   66.1    2.0   -0.5   3320   3367   57.5   59.9    2.4   4430   4395   57.4   59.4    2.0   3540   3540   62.8   65.3    2.5
   1999      1   72.7   73.2    0.5   -4.0    680    698   61.7   63.9    2.2   3010   3039   35.9   37.0    1.2    370    370   66.9   68.8    1.9
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   76.2    0.8    680    708  105.0  104.5   -0.5     10     10   75.4   75.8    0.4
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   70.7   22.7   30.6    120    125  112.1   67.6  -44.5     40     30   56.5   60.6    4.2    150    150  178.0  354.9  176.9
   2003      1   43.3   55.8   12.5   24.0    220    234   42.1   42.4    0.3    150    141   38.9   39.0    0.0    250    250   50.9   74.3   23.4
   2004      1   63.9   67.6    3.8    3.0    750    760   59.9   61.9    2.0    500    504   65.7   66.7    1.0   1030   1030   46.2   59.3   13.0
   2005      1   70.3   71.2    0.8   -3.8    940    936   69.5   71.6    2.1   1440   1454   70.9   71.4    0.5   1630   1630   67.4   71.3    3.9
   2006      1   70.8   71.5    0.6   -5.0    720    716   73.9   74.7    0.8   1460   1460   72.3   73.0    0.7   1240   1240   73.6   74.4    0.8
   2007      1   68.3   69.8    1.5   -3.6    920    910   77.3   77.7    0.4   1100   1106   72.6   73.5    0.9   1300   1300   74.3   75.3    0.9
   2008      1   83.2   83.9    0.7   -8.0    810    807   76.3   77.8    1.5   1290   1283   84.4   85.3    0.9   1180   1180   72.0   73.5    1.6
   2009      1   76.9   76.9    0.0   -1.8    930    929   81.2   81.4    0.3   1260   1258   74.4   74.6    0.2   1380   1380   87.8   87.9    0.1
   2010      1   72.1   72.6    0.5   -0.9    990    980   83.3   83.6    0.3   1510   1519   78.2   78.9    0.7   1570   1570   79.9   79.9   -0.0
   2011      1   81.5   82.8    1.3   -2.3    890    897   75.1   75.2    0.0   1280   1263   79.9   80.6    0.6   1180   1180   75.1   75.7    0.5
   2012      1   84.7   84.7   -0.0  -12.8    830    823   81.2   83.4    2.2   1270   1284   81.7   82.8    1.0   1210   1210   83.8   85.5    1.7
   2013      1   85.8   86.7    0.9   -7.0   1080   1093   82.7   83.2    0.4   1140   1120   83.0   83.6    0.7   1390   1390   86.3   87.0    0.8
   2014      1   79.5   81.0    1.5   -4.6    810    801   91.1   91.5    0.4   1550   1572   85.7   86.7    1.0   1280   1280   88.9   89.5    0.6
   2015      1   84.9   85.8    0.9   -3.7   1360   1351    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   83.8    0.6
   2016      1    0.0   88.7   88.7   41.4      0   1901    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   88.8   88.8
   2017      1    0.0   91.2   91.2   42.7      0   2451    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   91.9   91.9
   2018      1    0.0   93.4   93.4   44.0      0   3001    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.5   95.5   45.1      0   3551    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.7   96.7
   2020      1    0.0   97.4   97.4   46.2      0   4101    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.8   98.8
   2021      1    0.0   99.3   99.3   47.3      0   4651    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.8  100.8
   2022      1    0.0  101.3  101.3   48.4      0   5201    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.8  102.8
   2023      1    0.0  103.2  103.2   49.5      0   5751    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.8  104.8
   2024      1    0.0  105.3  105.3   50.7      0   6301    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  106.9  106.9
   2025      1    0.0  107.3  107.3   52.0      0   6851    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  108.9  108.9
   2026      1    0.0  109.3  109.3   53.2      0   7401    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.0  111.0
   2027      1    0.0  111.4  111.4   54.4      0   7951    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.1  113.1
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.4    990    999   22.8   23.0    0.2     90     80   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.7    0.4    0.5   1010   1025   25.1   25.2    0.1     60     54   21.1   21.3    0.2     80     80   28.8   29.1    0.4
   1991      2   30.9   31.4    0.6    0.6   1050   1070   26.6   26.4   -0.3     60     55   21.2   21.3    0.1    100    100   31.6   32.1    0.6
   1992      2   32.4   33.2    0.8    1.0   1050   1072   27.7   32.4    4.8     50     48   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.3    1.1    1.3   1070   1100   30.4   30.0   -0.4     80     72   24.2   24.3    0.0    100    100   34.9   36.0    1.1
   1994      2   34.1   35.2    1.1    1.4   1110   1126   37.1   38.7    1.6     90    104   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.7    1.4    1.5   1110   1133   30.8   30.0   -0.8     60     53   23.4   23.4    0.0     60     60   35.7   37.1    1.4
   1996      2   37.1   38.7    1.6    1.4   1040   1060   37.8   39.8    2.0     90     93   31.0   31.0    0.0     20     20   37.2   38.9    1.7
   1997      2   40.5   42.5    2.0    1.5    920    953   35.4   35.2   -0.3    130    117   38.3   38.5    0.2     10     10   39.9   41.7    1.8
   1998      2   43.9   46.1    2.3    1.6    790    829   41.6   42.4    0.8    130    124    0.0    NaN    NaN      0      0   43.5   45.7    2.1
   1999      2   38.6   40.1    1.5    1.9   1490   1537   35.0   34.5   -0.6    160    152   32.2   32.2    0.0    860    860   44.8   47.2    2.4
   2000      2   37.5   38.8    1.3    2.4   2030   2083   36.1   36.5    0.3    350    344   32.5   32.5    0.1    890    890   40.2   41.9    1.7
   2001      2   40.5   41.9    1.4    2.6   2080   2141   35.8   35.6   -0.2    210    202   36.2   36.2    0.0    260    260   40.6   42.0    1.4
   2002      2   44.4   45.8    1.5    3.1   2010   2075   37.5   37.7    0.2    190    186   37.0   37.0    0.0    120    120   44.2   45.6    1.5
   2003      2   47.2   48.8    1.6    3.1   2070   2139   42.2   40.9   -1.3    100     96   38.1   38.1   -0.0    160    160   47.6   49.2    1.6
   2004      2   50.7   52.4    1.7    3.4   1990   2064   43.8   43.4   -0.4    160    155   38.4   38.4   -0.0     80     80   50.6   52.3    1.7
   2005      2   53.3   55.1    1.8    3.6   1930   2002   55.4   56.0    0.6    140    142   44.8   44.7   -0.0     80     80   53.8   55.6    1.8
   2006      2   56.8   58.8    2.0    3.8   1910   1991   53.0   50.1   -2.9     80     71   48.8   48.8   -0.0     60     60   56.9   58.8    1.9
   2007      2   59.4   61.7    2.3    5.2   1890   1972   58.8   57.6   -1.2    140    139   46.1   46.1   -0.0    120    120   60.2   62.4    2.2
   2008      2   61.9   64.5    2.6    5.7   1920   2014   61.5   55.4   -6.0     50     38   47.2   47.2   -0.0     80     80   62.5   65.0    2.5
   2009      2   64.9   68.0    3.0    6.1   1880   1980   61.8   59.8   -2.0    160    154   48.6   48.6   -0.0    120    120   65.7   68.5    2.8
   2010      2   66.5   69.9    3.5    7.0   1890   1997   66.3   62.1   -4.2    100     93   44.7   44.7   -0.0    110    110   67.7   71.0    3.2
   2011      2   68.8   72.8    4.0    8.0   1880   1996   70.9   65.5   -5.4     90     81   56.2   56.2    0.0     80     80   69.4   73.2    3.8
   2012      2   70.2   74.8    4.6    8.5   1880   2000   73.5   71.8   -1.8    110    106   47.5   47.6    0.0    110    110   71.8   76.1    4.4
   2013      2   71.3   76.4    5.2    9.9   1930   2062   67.6   62.3   -5.3    100     88   49.8   49.8   -0.0    150    150   72.8   77.8    5.0
   2014      2   72.7   78.7    6.1   12.5   1810   1938   75.5   76.7    1.3    220    224   51.5   51.5   -0.0    100    100   74.1   79.8    5.8
   2015      2   75.6   81.9    6.3   13.6   1830   1958    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   82.2    6.4
   2016      2    0.0   85.3   85.3   43.5      0   1978    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.6   85.6
   2017      2    0.0   88.7   88.7   45.7      0   1998    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   89.0   89.0
   2018      2    0.0   92.2   92.2   48.1      0   2018    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.6   92.6
   2019      2    0.0   96.1   96.1   51.3      0   2038    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.4   96.4
   2020      2    0.0  100.1  100.1   54.3      0   2058    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.5  100.5
   2021      2    0.0  104.4  104.4   58.2      0   2078    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.8  104.8
   2022      2    0.0  108.7  108.7   61.5      0   2098    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.2  109.2
   2023      2    0.0  113.4  113.4   65.3      0   2118    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  113.9  113.9
   2024      2    0.0  118.4  118.4   70.1      0   2138    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  119.0  119.0
   2025      2    0.0  123.6  123.6   74.8      0   2158    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  124.2  124.2
   2026      2    0.0  128.8  128.8   79.1      0   2178    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  129.5  129.5
   2027      2    0.0  134.4  134.4   83.0      0   2198    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  135.1  135.1
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.6    0.9    0.7    830    839   33.0   36.7    3.7     60     53   34.3   34.3   -0.0     30     30   40.4   41.5    1.1
