    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.0   -0.2   1600   1614   43.2   44.6    1.4   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.7    1.8
   1990      1   48.1   49.9    1.7    0.9   1990   2029   41.1   43.4    2.3   1410   1385   42.4   44.8    2.3   1800   1800   48.3   50.0    1.7
   1991      1   48.4   50.8    2.4   -0.6   2310   2341   47.3   49.6    2.3   1640   1648   42.8   45.9    3.1   1960   1960   53.0   54.5    1.5
   1992      1   51.4   53.8    2.4    0.2   2860   2914   44.8   47.5    2.7   1720   1697   45.9   48.2    2.3   2270   2270   51.9   54.7    2.8
   1993      1   54.4   56.8    2.4    0.5   3550   3624   48.9   51.1    2.2   2000   1980   50.5   52.2    1.7   2690   2690   54.3   57.2    2.9
   1994      1   57.1   59.4    2.3    0.5   3870   3948   51.9   54.3    2.4   2660   2656   52.0   54.1    2.1   2980   2980   57.5   60.0    2.5
   1995      1   59.3   61.6    2.3   -1.2   4200   4259   57.4   59.9    2.6   2220   2239   58.0   60.0    2.0   2550   2550   59.0   61.7    2.7
   1996      1   56.4   59.8    3.4   -2.5   4020   4030   60.0   63.3    3.3   2780   2829   52.6   54.4    1.8   2600   2600   61.2   65.4    4.2
   1997      1   58.3   60.9    2.6   -0.8   4210   4230   56.3   59.1    2.7   2040   2030   54.1   55.6    1.5   2230   2230   59.6   62.9    3.3
   1998      1   64.1   65.9    1.9   -0.7   3320   3370   57.5   59.9    2.4   4430   4400   57.4   59.4    2.0   3540   3540   62.8   65.2    2.4
   1999      1   72.7   74.3    1.6   -2.9    680    710   61.7   63.5    1.8   3010   3030   35.9   37.0    1.2    370    370   66.9   68.7    1.8
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.3    1.9    680    720  105.0  104.5   -0.5     10     10   75.4   76.9    1.5
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.7    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  354.7  176.7
   2003      1   43.3   57.3   14.0   28.2    220    233   42.1   42.3    0.1    150    143   38.9   39.0    0.0    250    250   50.9   76.7   25.7
   2004      1   63.9   67.9    4.1    4.2    750    764   59.9   62.1    2.2    500    499   65.7   66.7    1.0   1030   1030   46.2   60.7   14.5
   2005      1   70.3   71.1    0.8   -3.8    940    945   69.5   71.9    2.4   1440   1449   70.9   71.4    0.5   1630   1630   67.4   71.8    4.4
   2006      1   70.8   71.3    0.5   -5.0    720    720   73.9   74.8    0.9   1460   1465   72.3   73.0    0.7   1240   1240   73.6   74.5    0.9
   2007      1   68.3   69.8    1.5   -3.6    920    915   77.3   77.7    0.3   1100   1105   72.6   73.5    0.9   1300   1300   74.3   75.1    0.7
   2008      1   83.2   83.5    0.3   -7.9    810    809   76.3   77.9    1.6   1290   1286   84.4   85.3    0.9   1180   1180   72.0   73.4    1.4
   2009      1   76.9   76.9    0.0   -1.4    930    922   81.2   81.2    0.1   1260   1267   74.4   74.6    0.2   1380   1380   87.8   87.6   -0.2
   2010      1   72.1   72.5    0.4   -1.0    990    981   83.3   83.7    0.4   1510   1511   78.2   78.9    0.7   1570   1570   79.9   79.9    0.0
   2011      1   81.5   82.6    1.1   -2.4    890    897   75.1   75.3    0.1   1280   1264   79.9   80.6    0.6   1180   1180   75.1   75.6    0.4
   2012      1   84.7   85.0    0.3  -13.0    830    832   81.2   83.1    1.9   1270   1275   81.7   82.8    1.0   1210   1210   83.8   85.3    1.5
   2013      1   85.8   86.9    1.2   -7.0   1080   1104   82.7   83.1    0.4   1140   1118   83.0   83.6    0.7   1390   1390   86.3   87.3    1.1
   2014      1   79.5   81.6    2.0   -4.1    810    809   91.1   91.5    0.4   1550   1575   85.7   86.7    1.0   1280   1280   88.9   89.9    1.0
   2015      1   84.9   86.1    1.2   -3.5   1360   1359    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.4    1.2
   2016      1    0.0   89.1   89.1   41.6      0   1909    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.3   89.3
   2017      1    0.0   91.4   91.4   42.8      0   2459    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.2   92.2
   2018      1    0.0   93.6   93.6   44.1      0   3009    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.7   94.7
   2019      1    0.0   95.6   95.6   45.2      0   3559    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.9   96.9
   2020      1    0.0   97.6   97.6   46.3      0   4109    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.9   98.9
   2021      1    0.0   99.5   99.5   47.3      0   4659    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.9  100.9
   2022      1    0.0  101.4  101.4   48.4      0   5209    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.9  102.9
   2023      1    0.0  103.4  103.4   49.6      0   5759    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.9  104.9
   2024      1    0.0  105.4  105.4   50.8      0   6309    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.0  107.0
   2025      1    0.0  107.4  107.4   52.1      0   6859    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.1  109.1
   2026      1    0.0  109.5  109.5   53.3      0   7409    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.2  111.2
   2027      1    0.0  111.6  111.6   54.7      0   7959    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.3  113.3
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.2    0.3    990   1000   22.8   23.0    0.2     90     79   20.2   20.7    0.5     80     80   26.6   26.7    0.2
   1990      2   28.4   28.8    0.4    0.4   1010   1027   25.1   25.2    0.1     60     53   21.1   21.3    0.2     80     80   28.8   29.2    0.5
   1991      2   30.9   31.4    0.6    0.5   1050   1073   26.6   26.5   -0.1     60     54   21.2   21.3    0.1    100    100   31.6   32.1    0.6
   1992      2   32.4   33.2    0.8    1.0   1050   1074   27.7   32.5    4.8     50     49   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.2    1.0    1.1   1070   1103   30.4   29.9   -0.6     80     71   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.3   1110   1134   37.1   38.5    1.3     90     99   24.0   24.3    0.3    130    130   35.6   36.7    1.2
   1995      2   35.3   36.7    1.4    1.4   1110   1142   30.8   30.3   -0.5     60     52   23.4   23.4    0.0     60     60   35.7   37.1    1.4
   1996      2   37.1   38.6    1.6    1.4   1040   1067   37.8   39.2    1.4     90     95   31.0   31.0    0.0     20     20   37.2   38.8    1.6
   1997      2   40.5   42.3    1.8    1.4    920    963   35.4   35.4   -0.1    130    114   38.3   38.5    0.2     10     10   39.9   41.6    1.7
   1998      2   43.9   46.0    2.1    1.8    790    832   41.6   42.3    0.7    130    131    0.0    NaN    NaN      0      0   43.5   45.5    1.9
   1999      2   38.6   40.0    1.4    1.9   1490   1540   35.0   34.8   -0.2    160    152   32.2   32.2    0.0    860    860   44.8   47.0    2.2
   2000      2   37.5   38.7    1.2    2.4   2030   2088   36.1   36.1   -0.0    350    342   32.5   32.5    0.1    890    890   40.2   41.8    1.6
   2001      2   40.5   41.8    1.3    2.6   2080   2146   35.8   35.4   -0.4    210    202   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.8    1.5    3.2   2010   2081   37.5   37.5    0.0    190    185   37.0   37.0    0.0    120    120   44.2   45.6    1.4
   2003      2   47.2   48.7    1.6    3.3   2070   2147   42.2   40.7   -1.5    100     94   38.1   38.1   -0.0    160    160   47.6   49.2    1.5
   2004      2   50.7   52.4    1.7    3.7   1990   2074   43.8   43.1   -0.7    160    153   38.4   38.4   -0.0     80     80   50.6   52.3    1.6
   2005      2   53.3   55.0    1.6    3.8   1930   2009   55.4   57.7    2.3    140    145   44.8   44.7   -0.0     80     80   53.8   55.6    1.7
   2006      2   56.8   58.6    1.8    4.0   1910   1996   53.0   50.3   -2.7     80     73   48.8   48.8   -0.0     60     60   56.9   58.6    1.7
   2007      2   59.4   61.6    2.2    5.4   1890   1980   58.8   56.5   -2.3    140    136   46.1   46.1   -0.0    120    120   60.2   62.2    2.0
   2008      2   61.9   64.4    2.5    5.9   1920   2020   61.5   56.3   -5.2     50     40   47.2   47.2   -0.0     80     80   62.5   64.9    2.4
   2009      2   64.9   67.9    3.0    6.5   1880   1983   61.8   59.3   -2.5    160    157   48.6   48.6   -0.0    120    120   65.7   68.4    2.7
   2010      2   66.5   69.9    3.4    7.4   1890   2003   66.3   61.8   -4.5    100     90   44.7   44.7   -0.0    110    110   67.7   71.0    3.2
   2011      2   68.8   72.6    3.8    8.3   1880   1999   70.9   66.0   -4.9     90     84   56.2   56.2    0.0     80     80   69.4   73.0    3.6
   2012      2   70.2   74.7    4.4    8.9   1880   2001   73.5   68.6   -4.9    110    108   47.5   47.6    0.0    110    110   71.8   75.8    4.1
   2013      2   71.3   76.3    5.0   10.4   1930   2060   67.6   61.8   -5.8    100     91   49.8   49.8   -0.0    150    150   72.8   77.6    4.8
   2014      2   72.7   78.5    5.8   12.9   1810   1936   75.5   76.6    1.1    220    224   51.5   51.5   -0.0    100    100   74.1   79.6    5.5
   2015      2   75.6   81.6    6.0   13.4   1830   1956    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.9    6.1
   2016      2    0.0   85.0   85.0   43.4      0   1976    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.3   85.3
   2017      2    0.0   88.5   88.5   45.8      0   1996    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   88.8   88.8
   2018      2    0.0   92.0   92.0   48.3      0   2016    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.4   92.4
   2019      2    0.0   95.8   95.8   51.0      0   2036    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.2   96.2
   2020      2    0.0   99.8   99.8   54.4      0   2056    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.2  100.2
   2021      2    0.0  104.1  104.1   58.0      0   2076    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.5  104.5
   2022      2    0.0  108.5  108.5   61.5      0   2096    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.0  109.0
   2023      2    0.0  113.2  113.2   65.2      0   2116    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  113.7  113.7
   2024      2    0.0  118.0  118.0   69.3      0   2136    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  118.6  118.6
   2025      2    0.0  123.1  123.1   73.4      0   2156    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  123.7  123.7
   2026      2    0.0  128.6  128.6   78.0      0   2176    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  129.2  129.2
   2027      2    0.0  134.0  134.0   82.1      0   2196    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  134.7  134.7
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.2    830    840   33.0   36.6    3.6     60     52   34.3   34.3   -0.0     30     30   40.4   41.3    0.9
