    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.0   -0.2   1600   1614   43.2   44.6    1.4   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.7    1.8
   1990      1   48.1   50.0    1.9    1.1   1990   2028   41.1   43.4    2.3   1410   1386   42.4   44.8    2.3   1800   1800   48.3   50.1    1.8
   1991      1   48.4   50.9    2.5   -0.4   2310   2342   47.3   49.5    2.2   1640   1646   42.8   45.9    3.1   1960   1960   53.0   54.6    1.6
   1992      1   51.4   53.9    2.6    0.5   2860   2926   44.8   47.3    2.5   1720   1686   45.9   48.2    2.3   2270   2270   51.9   54.8    2.9
   1993      1   54.4   56.9    2.5    0.8   3550   3636   48.9   51.0    2.1   2000   1980   50.5   52.2    1.7   2690   2690   54.3   57.3    3.0
   1994      1   57.1   59.5    2.5    0.8   3870   3961   51.9   54.3    2.4   2660   2655   52.0   54.1    2.1   2980   2980   57.5   60.2    2.7
   1995      1   59.3   61.9    2.6   -0.7   4200   4274   57.4   59.7    2.4   2220   2237   58.0   60.0    2.0   2550   2550   59.0   61.9    2.9
   1996      1   56.4   59.9    3.4   -2.3   4020   4029   60.0   63.6    3.6   2780   2845   52.6   54.4    1.8   2600   2600   61.2   65.7    4.5
   1997      1   58.3   61.0    2.7   -0.6   4210   4231   56.3   59.0    2.7   2040   2028   54.1   55.6    1.5   2230   2230   59.6   62.9    3.3
   1998      1   64.1   66.1    2.1   -0.4   3320   3376   57.5   60.0    2.4   4430   4395   57.4   59.4    2.0   3540   3540   62.8   65.3    2.6
   1999      1   72.7   73.7    1.0   -3.4    680    700   61.7   63.8    2.1   3010   3046   35.9   37.0    1.2    370    370   66.9   68.8    1.9
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   76.7    1.3    680    710  105.0  104.5   -0.5     10     10   75.4   76.3    0.9
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.7    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  354.5  176.5
   2003      1   43.3   56.5   13.2   27.7    220    235   42.1   43.3    1.1    150    141   38.9   39.0    0.0    250    250   50.9   76.5   25.6
   2004      1   63.9   67.9    4.0    4.3    750    768   59.9   61.8    1.9    500    497   65.7   66.7    1.0   1030   1030   46.2   59.9   13.7
   2005      1   70.3   70.9    0.6   -4.2    940    942   69.5   71.9    2.4   1440   1456   70.9   71.4    0.5   1630   1630   67.4   71.6    4.2
   2006      1   70.8   71.6    0.8   -4.8    720    717   73.9   74.6    0.7   1460   1465   72.3   73.0    0.7   1240   1240   73.6   74.4    0.8
   2007      1   68.3   69.9    1.6   -3.7    920    911   77.3   77.8    0.5   1100   1106   72.6   73.5    0.9   1300   1300   74.3   75.4    1.1
   2008      1   83.2   83.9    0.6   -7.9    810    812   76.3   77.8    1.5   1290   1279   84.4   85.3    0.9   1180   1180   72.0   73.5    1.6
   2009      1   76.9   76.7   -0.2   -1.7    930    928   81.2   81.6    0.5   1260   1264   74.4   74.6    0.2   1380   1380   87.8   88.0    0.1
   2010      1   72.1   72.8    0.7   -0.9    990    979   83.3   83.4    0.1   1510   1519   78.2   78.9    0.7   1570   1570   79.9   79.7   -0.2
   2011      1   81.5   82.6    1.1   -2.3    890    897   75.1   75.3    0.2   1280   1262   79.9   80.6    0.6   1180   1180   75.1   75.7    0.6
   2012      1   84.7   85.0    0.3  -12.7    830    830   81.2   83.1    1.9   1270   1277   81.7   82.8    1.0   1210   1210   83.8   85.3    1.5
   2013      1   85.8   86.6    0.9   -6.9   1080   1100   82.7   83.4    0.7   1140   1120   83.0   83.6    0.7   1390   1390   86.3   87.3    1.1
   2014      1   79.5   80.9    1.3   -4.5    810    802   91.1   91.6    0.5   1550   1578   85.7   86.7    1.0   1280   1280   88.9   89.5    0.6
   2015      1   84.9   85.7    0.8   -3.7   1360   1352    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   83.7    0.5
   2016      1    0.0   88.6   88.6   41.4      0   1902    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   88.6   88.6
   2017      1    0.0   91.0   91.0   42.6      0   2452    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   91.7   91.7
   2018      1    0.0   93.2   93.2   43.8      0   3002    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.2   94.2
   2019      1    0.0   95.3   95.3   44.8      0   3552    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.5   96.5
   2020      1    0.0   97.3   97.3   45.9      0   4102    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.6   98.6
   2021      1    0.0   99.3   99.3   47.1      0   4652    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.7  100.7
   2022      1    0.0  101.2  101.2   48.2      0   5202    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.7  102.7
   2023      1    0.0  103.2  103.2   49.4      0   5752    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.8  104.8
   2024      1    0.0  105.2  105.2   50.6      0   6302    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  106.8  106.8
   2025      1    0.0  107.2  107.2   51.8      0   6852    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  108.8  108.8
   2026      1    0.0  109.2  109.2   53.1      0   7402    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  110.9  110.9
   2027      1    0.0  111.4  111.4   54.5      0   7952    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.0  113.0
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.2    0.3    990   1000   22.8   23.0    0.2     90     79   20.2   20.7    0.5     80     80   26.6   26.7    0.2
   1990      2   28.4   28.8    0.4    0.4   1010   1028   25.1   25.2    0.2     60     52   21.1   21.3    0.2     80     80   28.8   29.2    0.4
   1991      2   30.9   31.5    0.6    0.6   1050   1075   26.6   26.5   -0.1     60     53   21.2   21.3    0.1    100    100   31.6   32.2    0.7
   1992      2   32.4   33.2    0.8    1.1   1050   1077   27.7   32.4    4.7     50     48   21.9   21.9    0.0     50     50   32.7   33.7    1.1
   1993      2   34.2   35.2    1.0    1.1   1070   1105   30.4   29.8   -0.6     80     72   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.3   1110   1135   37.1   38.2    1.1     90    100   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.7    1.4    1.4   1110   1140   30.8   30.5   -0.3     60     55   23.4   23.4    0.0     60     60   35.7   37.1    1.4
   1996      2   37.1   38.7    1.6    1.3   1040   1070   37.8   39.0    1.2     90     90   31.0   31.0    0.0     20     20   37.2   38.8    1.6
   1997      2   40.5   42.4    1.9    1.4    920    965   35.4   35.2   -0.2    130    115   38.3   38.5    0.2     10     10   39.9   41.7    1.7
   1998      2   43.9   45.9    2.1    1.5    790    837   41.6   42.1    0.5    130    128    0.0    NaN    NaN      0      0   43.5   45.4    1.9
   1999      2   38.6   40.0    1.4    1.6   1490   1543   35.0   35.0   -0.0    160    154   32.2   32.2    0.0    860    860   44.8   47.0    2.2
   2000      2   37.5   38.7    1.2    2.2   2030   2084   36.1   36.6    0.5    350    349   32.5   32.5    0.1    890    890   40.2   41.7    1.6
   2001      2   40.5   41.8    1.3    2.4   2080   2141   35.8   35.7   -0.1    210    203   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.7    1.3    2.9   2010   2076   37.5   37.6    0.1    190    185   37.0   37.0    0.0    120    120   44.2   45.5    1.3
   2003      2   47.2   48.5    1.4    2.9   2070   2140   42.2   41.1   -1.0    100     96   38.1   38.1   -0.0    160    160   47.6   49.0    1.3
   2004      2   50.7   52.2    1.5    3.2   1990   2067   43.8   43.2   -0.6    160    153   38.4   38.4   -0.0     80     80   50.6   52.0    1.4
   2005      2   53.3   54.9    1.5    3.4   1930   2000   55.4   55.9    0.5    140    147   44.8   44.7   -0.0     80     80   53.8   55.3    1.5
   2006      2   56.8   58.5    1.7    3.7   1910   1988   53.0   50.5   -2.5     80     72   48.8   48.8   -0.0     60     60   56.9   58.5    1.6
   2007      2   59.4   61.4    2.0    4.9   1890   1970   58.8   57.5   -1.3    140    138   46.1   46.1   -0.0    120    120   60.2   62.0    1.8
   2008      2   61.9   64.2    2.3    5.4   1920   2013   61.5   54.1   -7.4     50     37   47.2   47.2   -0.0     80     80   62.5   64.7    2.2
   2009      2   64.9   67.8    2.8    5.9   1880   1976   61.8   59.4   -2.3    160    157   48.6   48.6   -0.0    120    120   65.7   68.3    2.6
   2010      2   66.5   69.8    3.3    6.7   1890   1996   66.3   60.4   -5.8    100     90   44.7   44.7   -0.0    110    110   67.7   70.8    3.1
   2011      2   68.8   72.5    3.7    7.5   1880   1994   70.9   68.1   -2.8     90     82   56.2   56.2    0.0     80     80   69.4   73.0    3.6
   2012      2   70.2   74.6    4.4    8.2   1880   1999   73.5   69.8   -3.7    110    105   47.5   47.6    0.0    110    110   71.8   75.9    4.1
   2013      2   71.3   76.2    4.9    9.6   1930   2058   67.6   62.5   -5.1    100     91   49.8   49.8   -0.0    150    150   72.8   77.5    4.7
   2014      2   72.7   78.4    5.7   12.0   1810   1926   75.5   76.8    1.3    220    232   51.5   51.5   -0.0    100    100   74.1   79.5    5.5
   2015      2   75.6   81.6    6.0   12.9   1830   1946    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.8    6.0
   2016      2    0.0   84.8   84.8   42.7      0   1966    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.1   85.1
   2017      2    0.0   88.2   88.2   45.0      0   1986    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   88.5   88.5
   2018      2    0.0   91.9   91.9   47.6      0   2006    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.2   92.2
   2019      2    0.0   95.8   95.8   50.8      0   2026    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.2   96.2
   2020      2    0.0   99.9   99.9   54.2      0   2046    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.3  100.3
   2021      2    0.0  104.2  104.2   58.2      0   2066    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.7  104.7
   2022      2    0.0  108.8  108.8   62.8      0   2086    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.3  109.3
   2023      2    0.0  113.5  113.5   66.5      0   2106    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  114.0  114.0
   2024      2    0.0  118.3  118.3   70.4      0   2126    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  118.8  118.8
   2025      2    0.0  123.3  123.3   74.5      0   2146    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  123.9  123.9
   2026      2    0.0  128.7  128.7   79.0      0   2166    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  129.4  129.4
   2027      2    0.0  134.2  134.2   83.3      0   2186    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  134.9  134.9
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.2    830    840   33.0   36.6    3.6     60     52   34.3   34.3   -0.0     30     30   40.4   41.3    0.9
