    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.1   -0.1   1600   1614   43.2   44.7    1.5   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.8    2.0
   1990      1   48.1   50.1    1.9    1.1   1990   2036   41.1   43.2    2.1   1410   1378   42.4   44.8    2.3   1800   1800   48.3   50.1    1.8
   1991      1   48.4   50.8    2.3   -0.7   2310   2345   47.3   49.9    2.6   1640   1651   42.8   45.9    3.1   1960   1960   53.0   54.7    1.7
   1992      1   51.4   53.7    2.4    0.1   2860   2919   44.8   47.4    2.6   1720   1696   45.9   48.2    2.3   2270   2270   51.9   54.6    2.7
   1993      1   54.4   56.8    2.4    0.5   3550   3626   48.9   51.0    2.1   2000   1983   50.5   52.2    1.7   2690   2690   54.3   57.1    2.8
   1994      1   57.1   59.5    2.4    0.7   3870   3956   51.9   54.2    2.3   2660   2650   52.0   54.1    2.1   2980   2980   57.5   60.0    2.6
   1995      1   59.3   61.7    2.5   -1.0   4200   4268   57.4   59.7    2.3   2220   2238   58.0   60.0    2.0   2550   2550   59.0   61.7    2.7
   1996      1   56.4   60.0    3.6   -2.1   4020   4036   60.0   63.3    3.3   2780   2832   52.6   54.4    1.8   2600   2600   61.2   65.6    4.4
   1997      1   58.3   61.1    2.8   -0.6   4210   4237   56.3   59.1    2.8   2040   2029   54.1   55.6    1.5   2230   2230   59.6   63.1    3.5
   1998      1   64.1   66.3    2.3   -0.2   3320   3374   57.5   60.0    2.5   4430   4403   57.4   59.4    2.0   3540   3540   62.8   65.5    2.7
   1999      1   72.7   74.1    1.4   -3.0    680    710   61.7   63.9    2.2   3010   3034   35.9   37.0    1.2    370    370   66.9   69.0    2.2
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.1    1.7    680    720  105.0  104.5   -0.5     10     10   75.4   76.7    1.3
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.7    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  354.7  176.7
   2003      1   43.3   56.4   13.1   28.0    220    231   42.1   43.8    1.7    150    145   38.9   39.0    0.0    250    250   50.9   76.5   25.5
   2004      1   63.9   68.1    4.3    4.3    750    769   59.9   61.4    1.5    500    492   65.7   66.7    1.0   1030   1030   46.2   59.9   13.7
   2005      1   70.3   70.9    0.6   -4.0    940    944   69.5   72.0    2.6   1440   1455   70.9   71.4    0.5   1630   1630   67.4   71.9    4.5
   2006      1   70.8   71.0    0.2   -5.2    720    719   73.9   74.7    0.9   1460   1465   72.3   73.0    0.7   1240   1240   73.6   74.2    0.6
   2007      1   68.3   69.7    1.3   -3.8    920    913   77.3   77.5    0.2   1100   1106   72.6   73.5    0.9   1300   1300   74.3   74.8    0.4
   2008      1   83.2   83.5    0.3   -8.0    810    808   76.3   77.9    1.6   1290   1285   84.4   85.3    0.9   1180   1180   72.0   73.3    1.4
   2009      1   76.9   76.9    0.0   -1.5    930    923   81.2   81.1   -0.0   1260   1265   74.4   74.6    0.2   1380   1380   87.8   87.5   -0.3
   2010      1   72.1   72.6    0.5   -1.0    990    976   83.3   83.6    0.3   1510   1517   78.2   78.9    0.7   1570   1570   79.9   80.0    0.1
   2011      1   81.5   82.5    1.0   -2.5    890    896   75.1   75.3    0.2   1280   1260   79.9   80.6    0.6   1180   1180   75.1   75.6    0.4
   2012      1   84.7   84.6   -0.1  -12.6    830    829   81.2   83.2    2.0   1270   1277   81.7   82.8    1.0   1210   1210   83.8   85.1    1.3
   2013      1   85.8   86.8    1.0   -6.8   1080   1095   82.7   83.0    0.3   1140   1124   83.0   83.6    0.7   1390   1390   86.3   86.9    0.7
   2014      1   79.5   81.8    2.2   -3.9    810    808   91.1   91.3    0.2   1550   1567   85.7   86.7    1.0   1280   1280   88.9   89.7    0.8
   2015      1   84.9   86.3    1.4   -3.3   1360   1358    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.7    1.5
   2016      1    0.0   89.1   89.1   41.7      0   1908    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.3   89.3
   2017      1    0.0   91.5   91.5   42.9      0   2458    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.3   92.3
   2018      1    0.0   93.6   93.6   44.1      0   3008    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.7   94.7
   2019      1    0.0   95.6   95.6   45.2      0   3558    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.9   96.9
   2020      1    0.0   97.6   97.6   46.3      0   4108    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   99.0   99.0
   2021      1    0.0   99.6   99.6   47.5      0   4658    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  101.1  101.1
   2022      1    0.0  101.6  101.6   48.6      0   5208    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  103.1  103.1
   2023      1    0.0  103.5  103.5   49.8      0   5758    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  105.1  105.1
   2024      1    0.0  105.5  105.5   50.9      0   6308    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.1  107.1
   2025      1    0.0  107.5  107.5   52.1      0   6858    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.1  109.1
   2026      1    0.0  109.5  109.5   53.4      0   7408    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.2  111.2
   2027      1    0.0  111.6  111.6   54.7      0   7958    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.3  113.3
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.4    990    999   22.8   23.0    0.2     90     80   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.7    0.3    0.4   1010   1024   25.1   24.9   -0.2     60     55   21.1   21.3    0.2     80     80   28.8   29.1    0.3
   1991      2   30.9   31.5    0.6    0.5   1050   1069   26.6   26.6   -0.1     60     55   21.2   21.3    0.1    100    100   31.6   32.2    0.6
   1992      2   32.4   33.2    0.8    1.1   1050   1071   27.7   32.2    4.6     50     48   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.3    1.1    1.3   1070   1101   30.4   29.6   -0.8     80     70   24.2   24.3    0.0    100    100   34.9   36.0    1.1
   1994      2   34.1   35.3    1.2    1.5   1110   1132   37.1   38.4    1.3     90     99   24.0   24.3    0.3    130    130   35.6   36.9    1.3
   1995      2   35.3   36.8    1.5    1.6   1110   1141   30.8   30.2   -0.6     60     51   23.4   23.4    0.0     60     60   35.7   37.2    1.5
   1996      2   37.1   38.8    1.7    1.5   1040   1068   37.8   39.8    2.0     90     93   31.0   31.0    0.0     20     20   37.2   39.0    1.8
   1997      2   40.5   42.5    2.0    1.5    920    962   35.4   35.4   -0.0    130    116   38.3   38.5    0.2     10     10   39.9   41.8    1.9
   1998      2   43.9   46.1    2.2    1.7    790    837   41.6   42.9    1.3    130    125    0.0    NaN    NaN      0      0   43.5   45.7    2.1
   1999      2   38.6   40.1    1.5    1.9   1490   1545   35.0   34.8   -0.2    160    152   32.2   32.2    0.0    860    860   44.8   47.2    2.4
   2000      2   37.5   38.7    1.2    2.4   2030   2086   36.1   36.6    0.5    350    349   32.5   32.5    0.1    890    890   40.2   41.8    1.6
   2001      2   40.5   41.8    1.2    2.6   2080   2144   35.8   35.6   -0.3    210    202   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.6    1.3    3.1   2010   2077   37.5   37.5    0.0    190    187   37.0   37.0    0.0    120    120   44.2   45.4    1.3
   2003      2   47.2   48.6    1.4    3.1   2070   2141   42.2   40.6   -1.6    100     96   38.1   38.1   -0.0    160    160   47.6   49.0    1.3
   2004      2   50.7   52.2    1.6    3.4   1990   2063   43.8   43.2   -0.6    160    158   38.4   38.4   -0.0     80     80   50.6   52.1    1.5
   2005      2   53.3   54.9    1.6    3.5   1930   1998   55.4   56.2    0.8    140    145   44.8   44.7   -0.0     80     80   53.8   55.4    1.6
   2006      2   56.8   58.7    1.9    3.6   1910   1988   53.0   49.3   -3.7     80     70   48.8   48.8   -0.0     60     60   56.9   58.6    1.7
   2007      2   59.4   61.5    2.1    4.9   1890   1964   58.8   58.6   -0.3    140    144   46.1   46.1   -0.0    120    120   60.2   62.2    2.0
   2008      2   61.9   64.3    2.4    5.3   1920   2004   61.5   55.5   -6.0     50     40   47.2   47.2   -0.0     80     80   62.5   64.8    2.3
   2009      2   64.9   67.8    2.8    5.7   1880   1974   61.8   59.5   -2.2    160    150   48.6   48.6   -0.0    120    120   65.7   68.3    2.6
   2010      2   66.5   69.8    3.3    6.6   1890   1993   66.3   61.1   -5.2    100     91   44.7   44.7   -0.0    110    110   67.7   70.8    3.0
   2011      2   68.8   72.5    3.7    7.4   1880   1992   70.9   66.4   -4.5     90     81   56.2   56.2    0.0     80     80   69.4   72.9    3.5
   2012      2   70.2   74.4    4.2    8.1   1880   2001   73.5   71.4   -2.1    110    101   47.5   47.6    0.0    110    110   71.8   75.7    4.0
   2013      2   71.3   76.1    4.8    9.7   1930   2057   67.6   62.6   -5.0    100     94   49.8   49.8   -0.0    150    150   72.8   77.5    4.7
   2014      2   72.7   78.2    5.5   11.7   1810   1926   75.5   77.8    2.3    220    231   51.5   51.5   -0.0    100    100   74.1   79.4    5.4
   2015      2   75.6   81.4    5.8   12.8   1830   1946    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.6    5.9
   2016      2    0.0   84.8   84.8   42.7      0   1966    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.0   85.0
   2017      2    0.0   88.3   88.3   45.2      0   1986    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   88.6   88.6
   2018      2    0.0   91.9   91.9   48.0      0   2006    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.2   92.2
   2019      2    0.0   95.5   95.5   50.8      0   2026    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   95.9   95.9
   2020      2    0.0   99.7   99.7   54.6      0   2046    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.1  100.1
   2021      2    0.0  103.8  103.8   57.7      0   2066    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.2  104.2
   2022      2    0.0  108.2  108.2   61.1      0   2086    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  108.7  108.7
   2023      2    0.0  112.8  112.8   64.5      0   2106    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  113.3  113.3
   2024      2    0.0  117.7  117.7   68.6      0   2126    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  118.2  118.2
   2025      2    0.0  122.8  122.8   72.7      0   2146    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  123.4  123.4
   2026      2    0.0  128.2  128.2   77.0      0   2166    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  128.9  128.9
   2027      2    0.0  133.6  133.6   81.0      0   2186    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  134.3  134.3
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.6    0.9    0.7    830    839   33.0   36.7    3.7     60     53   34.3   34.3   -0.0     30     30   40.4   41.5    1.1
