    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.1   -0.1   1600   1608   43.2   44.7    1.5   1400   1407   41.0   42.6    1.6   1740   1740   45.9   47.9    2.0
   1990      1   48.1   49.9    1.7    1.0   1990   2031   41.1   43.2    2.1   1410   1377   42.4   44.8    2.3   1800   1800   48.3   49.9    1.5
   1991      1   48.4   50.9    2.5   -0.5   2310   2344   47.3   49.5    2.3   1640   1647   42.8   45.9    3.1   1960   1960   53.0   54.6    1.6
   1992      1   51.4   53.9    2.6    0.2   2860   2919   44.8   47.4    2.6   1720   1695   45.9   48.2    2.3   2270   2270   51.9   54.8    2.9
   1993      1   54.4   56.9    2.4    0.6   3550   3624   48.9   51.1    2.2   2000   1985   50.5   52.2    1.7   2690   2690   54.3   57.3    3.0
   1994      1   57.1   59.5    2.4    0.7   3870   3954   51.9   54.2    2.3   2660   2650   52.0   54.1    2.1   2980   2980   57.5   60.1    2.6
   1995      1   59.3   61.9    2.6   -0.8   4200   4275   57.4   59.6    2.2   2220   2229   58.0   60.0    2.0   2550   2550   59.0   61.8    2.8
   1996      1   56.4   60.0    3.5   -2.1   4020   4040   60.0   63.6    3.6   2780   2835   52.6   54.4    1.8   2600   2600   61.2   65.8    4.6
   1997      1   58.3   61.1    2.8   -0.4   4210   4237   56.3   59.1    2.8   2040   2033   54.1   55.6    1.5   2230   2230   59.6   63.1    3.5
   1998      1   64.1   66.3    2.2   -0.1   3320   3377   57.5   59.9    2.4   4430   4400   57.4   59.4    2.0   3540   3540   62.8   65.4    2.7
   1999      1   72.7   74.0    1.4   -2.5    680    708   61.7   63.9    2.2   3010   3039   35.9   37.0    1.2    370    370   66.9   69.0    2.1
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   76.9    1.5    680    718  105.0  104.5   -0.5     10     10   75.4   76.5    1.1
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   70.7   22.7   30.7    120    125  112.1   67.6  -44.5     40     30   56.5   60.6    4.2    150    150  178.0  355.1  177.1
   2003      1   43.3   55.1   11.8   24.1    220    225   42.1   44.3    2.2    150    150   38.9   39.0    0.0    250    250   50.9   74.4   23.4
   2004      1   63.9   67.5    3.6    2.5    750    762   59.9   61.8    1.9    500    493   65.7   66.7    1.0   1030   1030   46.2   58.4   12.2
   2005      1   70.3   70.9    0.6   -4.2    940    938   69.5   71.7    2.3   1440   1454   70.9   71.4    0.5   1630   1630   67.4   71.3    3.9
   2006      1   70.8   71.9    1.0   -4.8    720    718   73.9   74.4    0.6   1460   1460   72.3   73.0    0.7   1240   1240   73.6   74.3    0.7
   2007      1   68.3   69.9    1.5   -3.7    920    911   77.3   77.9    0.6   1100   1107   72.6   73.5    0.9   1300   1300   74.3   75.6    1.3
   2008      1   83.2   83.9    0.6   -8.0    810    809   76.3   77.9    1.6   1290   1282   84.4   85.3    0.9   1180   1180   72.0   73.6    1.6
   2009      1   76.9   77.2    0.3   -1.2    930    925   81.2   81.2    0.1   1260   1264   74.4   74.6    0.2   1380   1380   87.8   87.9    0.0
   2010      1   72.1   72.5    0.4   -1.0    990    971   83.3   83.8    0.5   1510   1524   78.2   78.9    0.7   1570   1570   79.9   80.2    0.3
   2011      1   81.5   82.6    1.1   -2.4    890    895   75.1   75.2    0.1   1280   1256   79.9   80.6    0.6   1180   1180   75.1   75.6    0.4
   2012      1   84.7   85.1    0.4  -12.7    830    827   81.2   82.9    1.7   1270   1278   81.7   82.8    1.0   1210   1210   83.8   85.1    1.3
   2013      1   85.8   86.9    1.2   -6.9   1080   1099   82.7   83.2    0.5   1140   1118   83.0   83.6    0.7   1390   1390   86.3   87.4    1.1
   2014      1   79.5   80.5    0.9   -4.8    810    799   91.1   92.0    0.9   1550   1580   85.7   86.7    1.0   1280   1280   88.9   89.9    1.0
   2015      1   84.9   85.5    0.6   -3.7   1360   1349    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   83.4    0.2
   2016      1    0.0   88.5   88.5   41.3      0   1899    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   88.5   88.5
   2017      1    0.0   91.0   91.0   42.6      0   2449    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   91.7   91.7
   2018      1    0.0   93.2   93.2   43.8      0   2999    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.2   94.2
   2019      1    0.0   95.3   95.3   44.9      0   3549    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.5   96.5
   2020      1    0.0   97.3   97.3   46.0      0   4099    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.6   98.6
   2021      1    0.0   99.3   99.3   47.1      0   4649    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.7  100.7
   2022      1    0.0  101.2  101.2   48.2      0   5199    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.7  102.7
   2023      1    0.0  103.2  103.2   49.4      0   5749    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.8  104.8
   2024      1    0.0  105.2  105.2   50.6      0   6299    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  106.8  106.8
   2025      1    0.0  107.3  107.3   52.0      0   6849    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.0  109.0
   2026      1    0.0  109.3  109.3   53.2      0   7399    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.0  111.0
   2027      1    0.0  111.4  111.4   54.6      0   7949    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.1  113.1
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.2    990    999   22.8   23.1    0.4     90     80   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.8    0.4    0.3   1010   1027   25.1   25.1   -0.0     60     52   21.1   21.3    0.2     80     80   28.8   29.2    0.4
   1991      2   30.9   31.5    0.6    0.5   1050   1072   26.6   26.6    0.0     60     55   21.2   21.3    0.1    100    100   31.6   32.2    0.7
   1992      2   32.4   33.2    0.9    0.9   1050   1072   27.7   32.8    5.2     50     50   21.9   21.9    0.0     50     50   32.7   33.8    1.1
   1993      2   34.2   35.3    1.1    1.0   1070   1099   30.4   29.9   -0.5     80     73   24.2   24.3    0.0    100    100   34.9   36.0    1.1
   1994      2   34.1   35.1    1.0    1.2   1110   1125   37.1   39.0    1.9     90    104   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.6    1.3    1.3   1110   1132   30.8   30.5   -0.3     60     53   23.4   23.4    0.0     60     60   35.7   37.1    1.3
   1996      2   37.1   38.7    1.6    1.3   1040   1059   37.8   38.9    1.1     90     93   31.0   31.0    0.0     20     20   37.2   38.8    1.6
   1997      2   40.5   42.4    1.9    1.3    920    952   35.4   35.6    0.2    130    117   38.3   38.5    0.2     10     10   39.9   41.7    1.8
   1998      2   43.9   46.1    2.2    1.4    790    826   41.6   42.0    0.4    130    126    0.0    NaN    NaN      0      0   43.5   45.5    2.0
   1999      2   38.6   40.0    1.4    1.7   1490   1537   35.0   34.9   -0.1    160    149   32.2   32.2    0.0    860    860   44.8   47.2    2.4
   2000      2   37.5   38.7    1.2    2.2   2030   2082   36.1   36.6    0.4    350    345   32.5   32.5    0.1    890    890   40.2   41.8    1.6
   2001      2   40.5   41.8    1.3    2.4   2080   2142   35.8   35.4   -0.5    210    200   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.8    1.4    2.8   2010   2076   37.5   37.7    0.2    190    186   37.0   37.0    0.0    120    120   44.2   45.5    1.4
   2003      2   47.2   48.7    1.5    2.8   2070   2139   42.2   41.3   -0.9    100     97   38.1   38.1   -0.0    160    160   47.6   49.1    1.5
   2004      2   50.7   52.4    1.7    3.2   1990   2061   43.8   43.7   -0.1    160    158   38.4   38.4   -0.0     80     80   50.6   52.3    1.6
   2005      2   53.3   55.1    1.8    3.3   1930   2002   55.4   55.5    0.1    140    139   44.8   44.7   -0.0     80     80   53.8   55.6    1.7
   2006      2   56.8   58.8    2.0    3.4   1910   1988   53.0   49.8   -3.2     80     74   48.8   48.8   -0.0     60     60   56.9   58.8    1.9
   2007      2   59.4   61.8    2.3    4.8   1890   1972   58.8   57.3   -1.5    140    136   46.1   46.1   -0.0    120    120   60.2   62.4    2.2
   2008      2   61.9   64.5    2.6    5.3   1920   2011   61.5   56.2   -5.3     50     41   47.2   47.2   -0.0     80     80   62.5   65.1    2.6
   2009      2   64.9   68.0    3.1    5.8   1880   1974   61.8   60.2   -1.5    160    157   48.6   48.6   -0.0    120    120   65.7   68.6    2.8
   2010      2   66.5   70.1    3.6    6.7   1890   1994   66.3   62.3   -4.0    100     90   44.7   44.7   -0.0    110    110   67.7   71.1    3.4
   2011      2   68.8   72.8    4.0    7.5   1880   1993   70.9   67.7   -3.2     90     81   56.2   56.2    0.0     80     80   69.4   73.3    3.9
   2012      2   70.2   75.0    4.7    8.3   1880   2000   73.5   69.2   -4.3    110    103   47.5   47.6    0.0    110    110   71.8   76.2    4.4
   2013      2   71.3   76.6    5.3   10.0   1930   2059   67.6   62.6   -5.0    100     91   49.8   49.8   -0.0    150    150   72.8   78.0    5.2
   2014      2   72.7   78.9    6.2   12.5   1810   1935   75.5   76.8    1.3    220    224   51.5   51.5   -0.0    100    100   74.1   80.0    5.9
   2015      2   75.6   82.1    6.5   13.6   1830   1955    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   82.3    6.6
   2016      2    0.0   85.4   85.4   43.3      0   1975    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.7   85.7
   2017      2    0.0   89.0   89.0   46.1      0   1995    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   89.3   89.3
   2018      2    0.0   92.6   92.6   48.6      0   2015    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.9   92.9
   2019      2    0.0   96.5   96.5   51.6      0   2035    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.9   96.9
   2020      2    0.0  100.4  100.4   54.7      0   2055    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.8  100.8
   2021      2    0.0  104.7  104.7   58.2      0   2075    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  105.1  105.1
   2022      2    0.0  109.2  109.2   62.5      0   2095    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.7  109.7
   2023      2    0.0  114.0  114.0   66.8      0   2115    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  114.5  114.5
   2024      2    0.0  118.9  118.9   71.0      0   2135    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  119.5  119.5
   2025      2    0.0  124.1  124.1   75.5      0   2155    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  124.7  124.7
   2026      2    0.0  129.4  129.4   79.6      0   2175    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  130.0  130.0
   2027      2    0.0  134.9  134.9   83.6      0   2195    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  135.5  135.5
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.5    830    839   33.0   36.2    3.2     60     53   34.3   34.3   -0.0     30     30   40.4   41.2    0.8
