    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   45.0    2.1    0.0   1600   1615   43.2   44.6    1.4   1400   1400   41.0   42.6    1.6   1740   1740   45.9   47.8    1.9
   1990      1   48.1   49.9    1.8    0.9   1990   2031   41.1   43.2    2.2   1410   1384   42.4   44.8    2.3   1800   1800   48.3   50.0    1.7
   1991      1   48.4   51.0    2.5   -0.5   2310   2347   47.3   49.5    2.3   1640   1644   42.8   45.9    3.1   1960   1960   53.0   54.7    1.7
   1992      1   51.4   54.0    2.6    0.3   2860   2925   44.8   47.4    2.6   1720   1692   45.9   48.2    2.3   2270   2270   51.9   54.8    3.0
   1993      1   54.4   56.9    2.4    0.5   3550   3633   48.9   51.0    2.1   2000   1982   50.5   52.2    1.7   2690   2690   54.3   57.2    2.9
   1994      1   57.1   59.4    2.4    0.7   3870   3958   51.9   54.3    2.3   2660   2655   52.0   54.1    2.1   2980   2980   57.5   60.0    2.6
   1995      1   59.3   61.8    2.5   -1.0   4200   4275   57.4   59.7    2.3   2220   2233   58.0   60.0    2.0   2550   2550   59.0   61.8    2.8
   1996      1   56.4   59.9    3.5   -2.3   4020   4034   60.0   63.5    3.4   2780   2841   52.6   54.4    1.8   2600   2600   61.2   65.6    4.4
   1997      1   58.3   60.9    2.7   -0.8   4210   4231   56.3   59.1    2.8   2040   2033   54.1   55.6    1.5   2230   2230   59.6   63.0    3.4
   1998      1   64.1   66.1    2.0   -0.4   3320   3367   57.5   59.9    2.4   4430   4404   57.4   59.4    2.0   3540   3540   62.8   65.2    2.4
   1999      1   72.7   74.0    1.4   -3.1    680    698   61.7   63.8    2.0   3010   3039   35.9   37.0    1.2    370    370   66.9   68.8    2.0
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.1    1.7    680    708  105.0  104.5   -0.5     10     10   75.4   76.7    1.3
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.8    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  355.5  177.5
   2003      1   43.3   57.0   13.7   28.4    220    231   42.1   43.1    1.0    150    145   38.9   39.0    0.0    250    250   50.9   76.7   25.8
   2004      1   63.9   67.9    4.0    4.2    750    762   59.9   62.1    2.2    500    499   65.7   66.7    1.0   1030   1030   46.2   60.5   14.3
   2005      1   70.3   71.1    0.8   -2.5    940    939   69.5   71.8    2.3   1440   1453   70.9   71.4    0.5   1630   1630   67.4   71.6    4.2
   2006      1   70.8   71.3    0.5   -5.1    720    712   73.9   74.8    0.9   1460   1467   72.3   73.0    0.7   1240   1240   73.6   74.5    0.9
   2007      1   68.3   69.8    1.5   -3.6    920    912   77.3   77.6    0.3   1100   1100   72.6   73.5    0.9   1300   1300   74.3   75.1    0.7
   2008      1   83.2   83.6    0.4   -8.2    810    809   76.3   77.9    1.6   1290   1283   84.4   85.3    0.9   1180   1180   72.0   73.4    1.4
   2009      1   76.9   76.4   -0.5   -2.3    930    923   81.2   81.5    0.4   1260   1266   74.4   74.6    0.2   1380   1380   87.8   87.5   -0.3
   2010      1   72.1   72.7    0.6   -1.0    990    980   83.3   83.3   -0.0   1510   1513   78.2   78.9    0.7   1570   1570   79.9   79.5   -0.4
   2011      1   81.5   82.5    1.0   -2.5    890    895   75.1   75.5    0.4   1280   1265   79.9   80.6    0.6   1180   1180   75.1   75.8    0.6
   2012      1   84.7   84.8    0.0  -12.4    830    827   81.2   83.1    1.9   1270   1278   81.7   82.8    1.0   1210   1210   83.8   85.0    1.3
   2013      1   85.8   86.9    1.1   -6.8   1080   1100   82.7   83.0    0.2   1140   1117   83.0   83.6    0.7   1390   1390   86.3   87.1    0.8
   2014      1   79.5   81.3    1.8   -4.3    810    803   91.1   91.5    0.4   1550   1577   85.7   86.7    1.0   1280   1280   88.9   89.7    0.8
   2015      1   84.9   86.0    1.1   -3.5   1360   1353    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.2    1.0
   2016      1    0.0   89.0   89.0   41.6      0   1903    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.1   89.1
   2017      1    0.0   91.3   91.3   42.8      0   2453    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.1   92.1
   2018      1    0.0   93.4   93.4   44.0      0   3003    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.4   95.4   45.0      0   3553    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.6   96.6
   2020      1    0.0   97.3   97.3   46.2      0   4103    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.7   98.7
   2021      1    0.0   99.3   99.3   47.3      0   4653    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.7  100.7
   2022      1    0.0  101.2  101.2   48.4      0   5203    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.7  102.7
   2023      1    0.0  103.2  103.2   49.5      0   5753    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.8  104.8
   2024      1    0.0  105.2  105.2   50.7      0   6303    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  106.8  106.8
   2025      1    0.0  107.2  107.2   51.9      0   6853    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  108.9  108.9
   2026      1    0.0  109.3  109.3   53.2      0   7403    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.0  111.0
   2027      1    0.0  111.4  111.4   54.5      0   7953    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.0  113.0
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.3    990   1001   22.8   23.0    0.2     90     78   20.2   20.7    0.5     80     80   26.6   26.7    0.2
   1990      2   28.4   28.7    0.4    0.4   1010   1028   25.1   24.8   -0.3     60     53   21.1   21.3    0.2     80     80   28.8   29.1    0.4
   1991      2   30.9   31.5    0.6    0.6   1050   1072   26.6   26.5   -0.1     60     56   21.2   21.3    0.1    100    100   31.6   32.2    0.6
   1992      2   32.4   33.2    0.8    1.0   1050   1072   27.7   32.7    5.0     50     50   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.2    0.9    1.1   1070   1101   30.4   29.9   -0.5     80     71   24.2   24.3    0.0    100    100   34.9   35.8    1.0
   1994      2   34.1   35.1    1.0    1.2   1110   1132   37.1   38.6    1.5     90     99   24.0   24.3    0.3    130    130   35.6   36.7    1.1
   1995      2   35.3   36.6    1.3    1.4   1110   1141   30.8   30.5   -0.3     60     51   23.4   23.4    0.0     60     60   35.7   37.1    1.3
   1996      2   37.1   38.7    1.6    1.3   1040   1068   37.8   39.2    1.4     90     93   31.0   31.0    0.0     20     20   37.2   38.8    1.6
   1997      2   40.5   42.4    1.9    1.3    920    960   35.4   35.5    0.0    130    118   38.3   38.5    0.2     10     10   39.9   41.7    1.7
   1998      2   43.9   46.0    2.1    1.5    790    833   41.6   42.1    0.5    130    127    0.0    NaN    NaN      0      0   43.5   45.5    1.9
   1999      2   38.6   39.9    1.3    1.6   1490   1540   35.0   34.6   -0.4    160    153   32.2   32.2    0.0    860    860   44.8   46.9    2.1
   2000      2   37.5   38.7    1.2    2.1   2030   2081   36.1   36.6    0.5    350    349   32.5   32.5    0.1    890    890   40.2   41.8    1.6
   2001      2   40.5   41.7    1.2    2.3   2080   2140   35.8   35.4   -0.4    210    201   36.2   36.2    0.0    260    260   40.6   41.8    1.2
   2002      2   44.4   45.6    1.3    2.8   2010   2077   37.5   37.7    0.2    190    183   37.0   37.0    0.0    120    120   44.2   45.4    1.3
   2003      2   47.2   48.5    1.4    2.8   2070   2144   42.2   40.8   -1.3    100     93   38.1   38.1   -0.0    160    160   47.6   49.0    1.3
   2004      2   50.7   52.2    1.5    3.2   1990   2069   43.8   43.3   -0.6    160    155   38.4   38.4   -0.0     80     80   50.6   52.1    1.5
   2005      2   53.3   54.9    1.6    3.3   1930   2009   55.4   56.6    1.2    140    140   44.8   44.7   -0.0     80     80   53.8   55.4    1.6
   2006      2   56.8   58.6    1.8    3.4   1910   1995   53.0   50.2   -2.8     80     74   48.8   48.8   -0.0     60     60   56.9   58.6    1.7
   2007      2   59.4   61.5    2.1    4.7   1890   1977   58.8   58.0   -0.8    140    138   46.1   46.1   -0.0    120    120   60.2   62.2    2.0
   2008      2   61.9   64.3    2.4    5.3   1920   2020   61.5   55.5   -6.0     50     37   47.2   47.2   -0.0     80     80   62.5   64.8    2.4
   2009      2   64.9   67.9    2.9    5.8   1880   1991   61.8   58.9   -2.9    160    149   48.6   48.6   -0.0    120    120   65.7   68.4    2.7
   2010      2   66.5   70.0    3.6    6.7   1890   2011   66.3   59.8   -6.4    100     90   44.7   44.7   -0.0    110    110   67.7   71.0    3.2
   2011      2   68.8   72.9    4.2    7.7   1880   2008   70.9   65.2   -5.7     90     83   56.2   56.2    0.0     80     80   69.4   73.3    3.9
   2012      2   70.2   74.9    4.6    8.2   1880   2013   73.5   69.4   -4.1    110    105   47.5   47.6    0.0    110    110   71.8   76.1    4.3
   2013      2   71.3   76.6    5.3    9.8   1930   2066   67.6   62.0   -5.6    100     97   49.8   49.8   -0.0    150    150   72.8   77.9    5.1
   2014      2   72.7   78.8    6.2   12.1   1810   1939   75.5   77.3    1.8    220    227   51.5   51.5   -0.0    100    100   74.1   80.0    5.9
   2015      2   75.6   82.0    6.4   13.0   1830   1959    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   82.3    6.5
   2016      2    0.0   85.3   85.3   42.7      0   1979    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.6   85.6
   2017      2    0.0   88.9   88.9   45.4      0   1999    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   89.2   89.2
   2018      2    0.0   92.5   92.5   48.1      0   2019    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.9   92.9
   2019      2    0.0   96.4   96.4   50.9      0   2039    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.7   96.7
   2020      2    0.0  100.4  100.4   54.2      0   2059    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.8  100.8
   2021      2    0.0  104.7  104.7   57.7      0   2079    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  105.1  105.1
   2022      2    0.0  109.1  109.1   61.2      0   2099    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.6  109.6
   2023      2    0.0  113.7  113.7   65.4      0   2119    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  114.2  114.2
   2024      2    0.0  118.6  118.6   69.8      0   2139    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  119.1  119.1
   2025      2    0.0  123.6  123.6   73.9      0   2159    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  124.2  124.2
   2026      2    0.0  129.2  129.2   78.6      0   2179    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  129.9  129.9
   2027      2    0.0  135.0  135.0   83.4      0   2199    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  135.7  135.7
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.5    0.8    0.5    830    842   33.0   36.5    3.5     60     50   34.3   34.3   -0.0     30     30   40.4   41.5    1.1
