    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.1   -0.1   1600   1614   43.2   44.7    1.5   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.8    2.0
   1990      1   48.1   49.9    1.8    0.9   1990   2033   41.1   43.2    2.2   1410   1381   42.4   44.8    2.3   1800   1800   48.3   49.9    1.6
   1991      1   48.4   50.8    2.4   -0.7   2310   2345   47.3   49.5    2.2   1640   1648   42.8   45.9    3.1   1960   1960   53.0   54.5    1.5
   1992      1   51.4   53.9    2.5    0.1   2860   2926   44.8   47.4    2.6   1720   1689   45.9   48.2    2.3   2270   2270   51.9   54.7    2.9
   1993      1   54.4   56.7    2.3    0.5   3550   3628   48.9   51.2    2.3   2000   1988   50.5   52.2    1.7   2690   2690   54.3   57.1    2.8
   1994      1   57.1   59.4    2.3    0.8   3870   3950   51.9   54.1    2.2   2660   2658   52.0   54.1    2.1   2980   2980   57.5   59.9    2.4
   1995      1   59.3   61.8    2.5   -0.6   4200   4265   57.4   59.6    2.2   2220   2235   58.0   60.0    2.0   2550   2550   59.0   61.7    2.7
   1996      1   56.4   59.9    3.5   -2.1   4020   4026   60.0   63.5    3.5   2780   2839   52.6   54.4    1.8   2600   2600   61.2   65.7    4.5
   1997      1   58.3   61.1    2.8   -0.5   4210   4227   56.3   59.0    2.7   2040   2029   54.1   55.6    1.5   2230   2230   59.6   63.1    3.5
   1998      1   64.1   66.3    2.2   -0.1   3320   3373   57.5   60.0    2.5   4430   4394   57.4   59.4    2.0   3540   3540   62.8   65.5    2.7
   1999      1   72.7   73.5    0.8   -3.5    680    707   61.7   64.1    2.3   3010   3036   35.9   37.0    1.2    370    370   66.9   69.0    2.2
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   76.3    0.9    680    717  105.0  104.5   -0.5     10     10   75.4   75.9    0.5
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.7    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  354.7  176.7
   2003      1   43.3   56.9   13.6   27.7    220    239   42.1   42.3    0.2    150    137   38.9   39.0    0.0    250    250   50.9   76.5   25.6
   2004      1   63.9   68.0    4.1    4.2    750    778   59.9   61.6    1.7    500    491   65.7   66.7    1.0   1030   1030   46.2   60.3   14.0
   2005      1   70.3   71.2    0.9   -2.5    940    947   69.5   71.8    2.3   1440   1461   70.9   71.4    0.5   1630   1630   67.4   71.8    4.4
   2006      1   70.8   71.5    0.7   -4.8    720    721   73.9   74.9    1.0   1460   1466   72.3   73.0    0.7   1240   1240   73.6   74.7    1.1
   2007      1   68.3   69.9    1.6   -3.5    920    913   77.3   77.6    0.3   1100   1108   72.6   73.5    0.9   1300   1300   74.3   75.2    0.9
   2008      1   83.2   83.6    0.4   -7.8    810    813   76.3   77.9    1.6   1290   1280   84.4   85.3    0.9   1180   1180   72.0   73.5    1.5
   2009      1   76.9   76.6   -0.3   -1.6    930    921   81.2   81.5    0.4   1260   1272   74.4   74.6    0.2   1380   1380   87.8   87.6   -0.2
   2010      1   72.1   72.0   -0.1   -1.2    990    971   83.3   83.7    0.4   1510   1520   78.2   78.9    0.7   1570   1570   79.9   79.5   -0.4
   2011      1   81.5   82.3    0.8   -2.4    890    892   75.1   75.0   -0.1   1280   1259   79.9   80.6    0.6   1180   1180   75.1   75.0   -0.2
   2012      1   84.7   84.8    0.1  -12.3    830    830   81.2   83.0    1.7   1270   1272   81.7   82.8    1.0   1210   1210   83.8   84.9    1.2
   2013      1   85.8   86.8    1.0   -6.7   1080   1101   82.7   83.1    0.4   1140   1119   83.0   83.6    0.7   1390   1390   86.3   87.1    0.8
   2014      1   79.5   81.0    1.4   -4.6    810    804   91.1   91.7    0.5   1550   1577   85.7   86.7    1.0   1280   1280   88.9   89.7    0.7
   2015      1   84.9   85.9    1.0   -3.6   1360   1354    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.0    0.8
   2016      1    0.0   88.9   88.9   41.6      0   1904    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.0   89.0
   2017      1    0.0   91.3   91.3   42.9      0   2454    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.1   92.1
   2018      1    0.0   93.5   93.5   44.0      0   3004    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.5   95.5   45.1      0   3554    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.8   96.8
   2020      1    0.0   97.6   97.6   46.2      0   4104    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   99.0   99.0
   2021      1    0.0   99.5   99.5   47.3      0   4654    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  101.0  101.0
   2022      1    0.0  101.4  101.4   48.4      0   5204    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  103.0  103.0
   2023      1    0.0  103.4  103.4   49.5      0   5754    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  105.0  105.0
   2024      1    0.0  105.4  105.4   50.7      0   6304    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.0  107.0
   2025      1    0.0  107.4  107.4   51.9      0   6854    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.0  109.0
   2026      1    0.0  109.4  109.4   53.1      0   7404    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.1  111.1
   2027      1    0.0  111.5  111.5   54.5      0   7954    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.1  113.1
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.4    990    999   22.8   23.0    0.2     90     80   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.7    0.4    0.4   1010   1025   25.1   24.9   -0.2     60     54   21.1   21.3    0.2     80     80   28.8   29.1    0.3
   1991      2   30.9   31.4    0.5    0.4   1050   1070   26.6   26.6   -0.0     60     55   21.2   21.3    0.1    100    100   31.6   32.1    0.5
   1992      2   32.4   33.2    0.8    0.9   1050   1071   27.7   32.8    5.2     50     49   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.3    1.0    1.1   1070   1100   30.4   29.8   -0.6     80     71   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.2   1110   1129   37.1   38.7    1.6     90    101   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.8    1.4    1.4   1110   1140   30.8   29.9   -0.9     60     49   23.4   23.4    0.0     60     60   35.7   37.2    1.4
   1996      2   37.1   38.8    1.7    1.3   1040   1066   37.8   39.0    1.2     90     94   31.0   31.0    0.0     20     20   37.2   38.9    1.7
   1997      2   40.5   42.5    2.0    1.4    920    959   35.4   35.5    0.0    130    117   38.3   38.5    0.2     10     10   39.9   41.8    1.8
   1998      2   43.9   46.0    2.2    1.5    790    833   41.6   42.7    1.1    130    126    0.0    NaN    NaN      0      0   43.5   45.6    2.1
   1999      2   38.6   40.0    1.4    1.7   1490   1538   35.0   35.2    0.2    160    155   32.2   32.2    0.0    860    860   44.8   47.0    2.2
   2000      2   37.5   38.6    1.1    2.2   2030   2079   36.1   36.6    0.5    350    349   32.5   32.5    0.1    890    890   40.2   41.7    1.5
   2001      2   40.5   41.8    1.3    2.4   2080   2138   35.8   35.4   -0.4    210    201   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.7    1.4    3.0   2010   2074   37.5   37.6    0.1    190    184   37.0   37.0    0.0    120    120   44.2   45.5    1.4
   2003      2   47.2   48.7    1.5    3.1   2070   2139   42.2   41.1   -1.1    100     95   38.1   38.1   -0.0    160    160   47.6   49.2    1.5
   2004      2   50.7   52.3    1.6    3.3   1990   2062   43.8   43.4   -0.4    160    157   38.4   38.4   -0.0     80     80   50.6   52.2    1.5
   2005      2   53.3   55.0    1.6    3.4   1930   1999   55.4   57.0    1.6    140    143   44.8   44.7   -0.0     80     80   53.8   55.5    1.7
   2006      2   56.8   58.6    1.8    3.4   1910   1985   53.0   49.9   -3.1     80     74   48.8   48.8   -0.0     60     60   56.9   58.6    1.7
   2007      2   59.4   61.6    2.1    4.8   1890   1966   58.8   58.1   -0.7    140    139   46.1   46.1   -0.0    120    120   60.2   62.3    2.0
   2008      2   61.9   64.4    2.5    5.3   1920   2009   61.5   55.2   -6.3     50     37   47.2   47.2   -0.0     80     80   62.5   64.9    2.4
   2009      2   64.9   67.9    3.0    5.7   1880   1978   61.8   59.3   -2.4    160    151   48.6   48.6   -0.0    120    120   65.7   68.5    2.7
   2010      2   66.5   70.0    3.5    6.6   1890   1998   66.3   60.7   -5.5    100     90   44.7   44.7   -0.0    110    110   67.7   71.0    3.2
   2011      2   68.8   72.8    4.1    7.6   1880   1998   70.9   66.2   -4.7     90     80   56.2   56.2    0.0     80     80   69.4   73.2    3.8
   2012      2   70.2   74.8    4.6    8.0   1880   1999   73.5   70.9   -2.6    110    109   47.5   47.6    0.0    110    110   71.8   76.1    4.4
   2013      2   71.3   76.5    5.2    9.3   1930   2058   67.6   61.6   -6.0    100     91   49.8   49.8   -0.0    150    150   72.8   77.8    5.0
   2014      2   72.7   78.4    5.7   11.0   1810   1926   75.5   79.4    3.9    220    232   51.5   51.5   -0.0    100    100   74.1   79.8    5.7
   2015      2   75.6   81.5    5.9   12.0   1830   1946    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.8    6.0
   2016      2    0.0   85.0   85.0   41.8      0   1966    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.2   85.2
   2017      2    0.0   88.6   88.6   44.5      0   1986    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   88.9   88.9
   2018      2    0.0   92.2   92.2   47.1      0   2006    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.6   92.6
   2019      2    0.0   96.1   96.1   50.2      0   2026    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.4   96.4
   2020      2    0.0  100.1  100.1   53.9      0   2046    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.5  100.5
   2021      2    0.0  104.5  104.5   57.6      0   2066    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.9  104.9
   2022      2    0.0  108.9  108.9   61.1      0   2086    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.4  109.4
   2023      2    0.0  113.6  113.6   65.1      0   2106    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  114.2  114.2
   2024      2    0.0  118.6  118.6   69.2      0   2126    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  119.1  119.1
   2025      2    0.0  123.6  123.6   73.5      0   2146    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  124.2  124.2
   2026      2    0.0  129.1  129.1   78.1      0   2166    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  129.7  129.7
   2027      2    0.0  134.7  134.7   82.5      0   2186    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  135.4  135.4
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.6    0.9    0.7    830    839   33.0   36.7    3.7     60     53   34.3   34.3   -0.0     30     30   40.4   41.5    1.1
