    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.0   -0.1   1600   1611   43.2   44.7    1.5   1400   1404   41.0   42.6    1.6   1740   1740   45.9   47.8    1.9
   1990      1   48.1   49.9    1.8    0.8   1990   2029   41.1   43.2    2.2   1410   1382   42.4   44.8    2.3   1800   1800   48.3   49.9    1.6
   1991      1   48.4   51.0    2.6   -0.4   2310   2344   47.3   49.5    2.2   1640   1645   42.8   45.9    3.1   1960   1960   53.0   54.7    1.7
   1992      1   51.4   53.8    2.5    0.3   2860   2921   44.8   47.5    2.7   1720   1693   45.9   48.2    2.3   2270   2270   51.9   54.8    2.9
   1993      1   54.4   56.8    2.3    0.6   3550   3626   48.9   51.0    2.1   2000   1985   50.5   52.2    1.7   2690   2690   54.3   57.1    2.8
   1994      1   57.1   59.5    2.4    0.7   3870   3950   51.9   54.2    2.3   2660   2656   52.0   54.1    2.1   2980   2980   57.5   60.0    2.6
   1995      1   59.3   61.8    2.5   -0.9   4200   4268   57.4   59.6    2.2   2220   2232   58.0   60.0    2.0   2550   2550   59.0   61.7    2.7
   1996      1   56.4   59.9    3.4   -2.3   4020   4029   60.0   63.6    3.5   2780   2839   52.6   54.4    1.8   2600   2600   61.2   65.6    4.4
   1997      1   58.3   60.8    2.5   -0.8   4210   4224   56.3   59.3    2.9   2040   2035   54.1   55.6    1.5   2230   2230   59.6   62.9    3.3
   1998      1   64.1   66.2    2.1   -0.4   3320   3365   57.5   59.9    2.3   4430   4399   57.4   59.4    2.0   3540   3540   62.8   65.2    2.5
   1999      1   72.7   73.8    1.1   -3.1    680    708   61.7   63.8    2.0   3010   3027   35.9   37.0    1.2    370    370   66.9   68.8    1.9
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   76.7    1.4    680    718  105.0  104.5   -0.5     10     10   75.4   76.4    1.0
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.8    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  355.5  177.5
   2003      1   43.3   57.1   13.8   27.9    220    235   42.1   42.3    0.2    150    141   38.9   39.0    0.0    250    250   50.9   76.5   25.6
   2004      1   63.9   67.8    4.0    4.2    750    766   59.9   62.2    2.3    500    499   65.7   66.7    1.0   1030   1030   46.2   60.5   14.3
   2005      1   70.3   70.9    0.6   -4.1    940    944   69.5   71.8    2.4   1440   1452   70.9   71.4    0.5   1630   1630   67.4   71.5    4.1
   2006      1   70.8   71.5    0.6   -5.0    720    725   73.9   74.6    0.8   1460   1459   72.3   73.0    0.7   1240   1240   73.6   74.3    0.7
   2007      1   68.3   70.1    1.7   -3.5    920    914   77.3   77.5    0.2   1100   1111   72.6   73.5    0.9   1300   1300   74.3   75.2    0.9
   2008      1   83.2   83.9    0.7   -8.0    810    806   76.3   77.9    1.6   1290   1288   84.4   85.3    0.9   1180   1180   72.0   73.7    1.8
   2009      1   76.9   76.9   -0.0   -1.7    930    921   81.2   81.5    0.3   1260   1265   74.4   74.6    0.2   1380   1380   87.8   88.0    0.1
   2010      1   72.1   72.5    0.4   -1.0    990    977   83.3   83.7    0.4   1510   1514   78.2   78.9    0.7   1570   1570   79.9   79.9    0.1
   2011      1   81.5   82.7    1.2   -2.4    890    894   75.1   75.1    0.0   1280   1263   79.9   80.6    0.6   1180   1180   75.1   75.5    0.4
   2012      1   84.7   84.7   -0.1  -12.6    830    829   81.2   83.3    2.1   1270   1275   81.7   82.8    1.0   1210   1210   83.8   85.3    1.6
   2013      1   85.8   87.2    1.4   -6.7   1080   1100   82.7   82.7   -0.1   1140   1119   83.0   83.6    0.7   1390   1390   86.3   87.0    0.8
   2014      1   79.5   81.2    1.6   -4.3    810    801   91.1   91.8    0.6   1550   1579   85.7   86.7    1.0   1280   1280   88.9   90.0    1.1
   2015      1   84.9   85.9    1.0   -3.5   1360   1351    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.1    0.9
   2016      1    0.0   88.9   88.9   41.5      0   1901    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.0   89.0
   2017      1    0.0   91.3   91.3   42.8      0   2451    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.1   92.1
   2018      1    0.0   93.4   93.4   43.9      0   3001    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.5   95.5   45.1      0   3551    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.7   96.7
   2020      1    0.0   97.5   97.5   46.2      0   4101    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.8   98.8
   2021      1    0.0   99.4   99.4   47.3      0   4651    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.9  100.9
   2022      1    0.0  101.4  101.4   48.4      0   5201    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.9  102.9
   2023      1    0.0  103.4  103.4   49.5      0   5751    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.9  104.9
   2024      1    0.0  105.4  105.4   50.8      0   6301    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.0  107.0
   2025      1    0.0  107.4  107.4   52.0      0   6851    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.0  109.0
   2026      1    0.0  109.4  109.4   53.3      0   7401    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.1  111.1
   2027      1    0.0  111.5  111.5   54.6      0   7951    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.2  113.2
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.1    0.3    990   1001   22.8   23.0    0.2     90     78   20.2   20.7    0.5     80     80   26.6   26.7    0.1
   1990      2   28.4   28.7    0.3    0.4   1010   1028   25.1   25.0   -0.0     60     53   21.1   21.3    0.2     80     80   28.8   29.1    0.3
   1991      2   30.9   31.4    0.6    0.6   1050   1075   26.6   26.5   -0.1     60     53   21.2   21.3    0.1    100    100   31.6   32.1    0.6
   1992      2   32.4   33.2    0.8    1.0   1050   1076   27.7   32.6    4.9     50     49   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.3    1.0    1.2   1070   1101   30.4   29.9   -0.6     80     75   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.3   1110   1134   37.1   38.8    1.6     90     97   24.0   24.3    0.3    130    130   35.6   36.8    1.2
   1995      2   35.3   36.8    1.4    1.5   1110   1141   30.8   30.1   -0.6     60     53   23.4   23.4    0.0     60     60   35.7   37.2    1.4
   1996      2   37.1   38.7    1.7    1.5   1040   1068   37.8   39.8    1.9     90     93   31.0   31.0    0.0     20     20   37.2   39.0    1.7
   1997      2   40.5   42.6    2.1    1.6    920    961   35.4   35.4   -0.0    130    117   38.3   38.5    0.2     10     10   39.9   41.9    1.9
   1998      2   43.9   46.3    2.4    1.9    790    832   41.6   42.5    0.9    130    129    0.0    NaN    NaN      0      0   43.5   45.8    2.2
   1999      2   38.6   40.2    1.6    2.1   1490   1544   35.0   34.5   -0.5    160    148   32.2   32.2    0.0    860    860   44.8   47.3    2.5
   2000      2   37.5   38.7    1.2    2.5   2030   2088   36.1   36.6    0.4    350    346   32.5   32.5    0.1    890    890   40.2   41.9    1.7
   2001      2   40.5   41.9    1.3    2.8   2080   2146   35.8   35.5   -0.4    210    202   36.2   36.2    0.0    260    260   40.6   41.9    1.4
   2002      2   44.4   45.8    1.5    3.4   2010   2081   37.5   38.0    0.5    190    185   37.0   37.0    0.0    120    120   44.2   45.6    1.5
   2003      2   47.2   48.7    1.5    3.5   2070   2144   42.2   41.2   -1.0    100     97   38.1   38.1   -0.0    160    160   47.6   49.2    1.5
   2004      2   50.7   52.4    1.7    4.0   1990   2069   43.8   43.8   -0.1    160    155   38.4   38.4   -0.0     80     80   50.6   52.3    1.7
   2005      2   53.3   55.2    1.9    4.4   1930   2007   55.4   56.0    0.6    140    142   44.8   44.7   -0.0     80     80   53.8   55.7    1.8
   2006      2   56.8   58.9    2.1    4.7   1910   1993   53.0   50.0   -3.0     80     74   48.8   48.8   -0.0     60     60   56.9   58.9    2.0
   2007      2   59.4   61.8    2.4    6.1   1890   1977   58.8   57.5   -1.3    140    136   46.1   46.1   -0.0    120    120   60.2   62.5    2.3
   2008      2   61.9   64.7    2.8    6.7   1920   2017   61.5   55.4   -6.1     50     40   47.2   47.2   -0.0     80     80   62.5   65.2    2.7
   2009      2   64.9   68.2    3.3    7.5   1880   1983   61.8   59.4   -2.4    160    154   48.6   48.6   -0.0    120    120   65.7   68.7    3.0
   2010      2   66.5   70.3    3.9    8.4   1890   2006   66.3   59.7   -6.6    100     87   44.7   44.7   -0.0    110    110   67.7   71.3    3.6
   2011      2   68.8   73.1    4.3    9.3   1880   2009   70.9   64.7   -6.2     90     77   56.2   56.2    0.0     80     80   69.4   73.5    4.1
   2012      2   70.2   75.3    5.1   10.1   1880   2014   73.5   68.5   -5.0    110    105   47.5   47.6    0.0    110    110   71.8   76.5    4.7
   2013      2   71.3   77.0    5.7   11.6   1930   2073   67.6   61.6   -6.0    100     91   49.8   49.8   -0.0    150    150   72.8   78.4    5.5
   2014      2   72.7   79.2    6.6   14.3   1810   1947   75.5   78.0    2.5    220    226   51.5   51.5   -0.0    100    100   74.1   80.4    6.4
   2015      2   75.6   82.5    6.9   15.1   1830   1967    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   82.7    6.9
   2016      2    0.0   85.9   85.9   45.0      0   1987    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   86.2   86.2
   2017      2    0.0   89.4   89.4   47.9      0   2007    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   89.7   89.7
   2018      2    0.0   93.1   93.1   50.5      0   2027    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   93.4   93.4
   2019      2    0.0   97.0   97.0   53.7      0   2047    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   97.4   97.4
   2020      2    0.0  101.2  101.2   57.3      0   2067    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  101.7  101.7
   2021      2    0.0  105.5  105.5   60.7      0   2087    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  106.0  106.0
   2022      2    0.0  110.1  110.1   64.7      0   2107    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  110.6  110.6
   2023      2    0.0  115.1  115.1   69.3      0   2127    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  115.6  115.6
   2024      2    0.0  119.9  119.9   73.2      0   2147    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  120.4  120.4
   2025      2    0.0  125.1  125.1   77.7      0   2167    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  125.7  125.7
   2026      2    0.0  130.5  130.5   82.0      0   2187    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  131.1  131.1
   2027      2    0.0  135.9  135.9   85.9      0   2207    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  136.6  136.6
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.7    830    839   33.0   36.5    3.5     60     53   34.3   34.3   -0.0     30     30   40.4   41.3    0.9
