    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.0   -0.2   1600   1614   43.2   44.6    1.4   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.7    1.8
   1990      1   48.1   49.9    1.7    1.0   1990   2030   41.1   43.3    2.3   1410   1384   42.4   44.8    2.3   1800   1800   48.3   49.9    1.6
   1991      1   48.4   50.9    2.4   -0.6   2310   2343   47.3   49.5    2.2   1640   1647   42.8   45.9    3.1   1960   1960   53.0   54.5    1.5
   1992      1   51.4   53.8    2.5    0.1   2860   2922   44.8   47.5    2.7   1720   1691   45.9   48.2    2.3   2270   2270   51.9   54.8    2.9
   1993      1   54.4   56.9    2.5    0.7   3550   3630   48.9   50.9    2.0   2000   1982   50.5   52.2    1.7   2690   2690   54.3   57.2    2.9
   1994      1   57.1   59.5    2.4    0.7   3870   3956   51.9   54.2    2.3   2660   2654   52.0   54.1    2.1   2980   2980   57.5   60.1    2.6
   1995      1   59.3   61.8    2.5   -1.1   4200   4270   57.4   59.8    2.5   2220   2236   58.0   60.0    2.0   2550   2550   59.0   61.8    2.8
   1996      1   56.4   60.0    3.5   -2.3   4020   4033   60.0   63.3    3.3   2780   2837   52.6   54.4    1.8   2600   2600   61.2   65.5    4.4
   1997      1   58.3   61.1    2.8   -0.7   4210   4233   56.3   58.9    2.6   2040   2030   54.1   55.6    1.5   2230   2230   59.6   63.0    3.4
   1998      1   64.1   66.1    2.0   -0.5   3320   3375   57.5   60.0    2.5   4430   4398   57.4   59.4    2.0   3540   3540   62.8   65.4    2.6
   1999      1   72.7   74.0    1.3   -3.3    680    710   61.7   63.8    2.1   3010   3035   35.9   37.0    1.2    370    370   66.9   68.9    2.0
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.0    1.6    680    720  105.0  104.5   -0.5     10     10   75.4   76.6    1.2
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   73.0   24.9   35.7    120    126  112.1   57.7  -54.4     40     29   56.5   60.6    4.2    150    150  178.0  354.7  176.7
   2003      1   43.3   56.8   13.5   27.7    220    236   42.1   42.8    0.7    150    140   38.9   39.0    0.0    250    250   50.9   76.7   25.8
   2004      1   63.9   68.0    4.1    4.4    750    765   59.9   61.8    1.9    500    501   65.7   66.7    1.0   1030   1030   46.2   60.3   14.0
   2005      1   70.3   71.3    1.0   -2.4    940    940   69.5   71.7    2.3   1440   1455   70.9   71.4    0.5   1630   1630   67.4   71.8    4.4
   2006      1   70.8   71.6    0.7   -5.2    720    713   73.9   74.7    0.8   1460   1467   72.3   73.0    0.7   1240   1240   73.6   74.6    0.9
   2007      1   68.3   70.1    1.8   -3.4    920    903   77.3   77.5    0.2   1100   1110   72.6   73.5    0.9   1300   1300   74.3   75.4    1.1
   2008      1   83.2   83.9    0.7   -8.0    810    799   76.3   78.1    1.8   1290   1284   84.4   85.3    0.9   1180   1180   72.0   73.9    1.9
   2009      1   76.9   76.9    0.0   -1.7    930    921   81.2   81.4    0.2   1260   1258   74.4   74.6    0.2   1380   1380   87.8   88.0    0.1
   2010      1   72.1   72.5    0.4   -0.8    990    973   83.3   83.6    0.4   1510   1518   78.2   78.9    0.7   1570   1570   79.9   79.9    0.0
   2011      1   81.5   82.5    1.0   -2.3    890    893   75.1   75.2    0.1   1280   1260   79.9   80.6    0.6   1180   1180   75.1   75.4    0.3
   2012      1   84.7   84.9    0.2  -12.6    830    826   81.2   83.1    1.9   1270   1277   81.7   82.8    1.0   1210   1210   83.8   85.2    1.4
   2013      1   85.8   87.0    1.3   -6.8   1080   1102   82.7   82.9    0.2   1140   1114   83.0   83.6    0.7   1390   1390   86.3   87.2    0.9
   2014      1   79.5   81.2    1.6   -4.5    810    808   91.1   91.7    0.6   1550   1574   85.7   86.7    1.0   1280   1280   88.9   89.9    0.9
   2015      1   84.9   86.0    1.1   -3.6   1360   1358    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.2    1.0
   2016      1    0.0   88.9   88.9   41.5      0   1908    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.0   89.0
   2017      1    0.0   91.4   91.4   42.8      0   2458    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.1   92.1
   2018      1    0.0   93.5   93.5   43.9      0   3008    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.5   94.5
   2019      1    0.0   95.5   95.5   45.1      0   3558    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.8   96.8
   2020      1    0.0   97.5   97.5   46.2      0   4108    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.8   98.8
   2021      1    0.0   99.5   99.5   47.3      0   4658    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.9  100.9
   2022      1    0.0  101.4  101.4   48.4      0   5208    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.9  102.9
   2023      1    0.0  103.4  103.4   49.5      0   5758    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  105.0  105.0
   2024      1    0.0  105.4  105.4   50.8      0   6308    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  107.0  107.0
   2025      1    0.0  107.4  107.4   52.0      0   6858    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  109.1  109.1
   2026      1    0.0  109.5  109.5   53.3      0   7408    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.2  111.2
   2027      1    0.0  111.6  111.6   54.6      0   7958    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.3  113.3
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.2    0.3    990   1000   22.8   23.0    0.2     90     79   20.2   20.7    0.5     80     80   26.6   26.7    0.2
   1990      2   28.4   28.8    0.4    0.4   1010   1028   25.1   25.0   -0.1     60     52   21.1   21.3    0.2     80     80   28.8   29.2    0.4
   1991      2   30.9   31.5    0.7    0.4   1050   1075   26.6   26.7    0.1     60     53   21.2   21.3    0.1    100    100   31.6   32.3    0.7
   1992      2   32.4   33.3    0.9    0.9   1050   1079   27.7   32.7    5.1     50     46   21.9   21.9    0.0     50     50   32.7   33.8    1.1
   1993      2   34.2   35.2    1.0    1.0   1070   1106   30.4   30.3   -0.2     80     73   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.2   1110   1136   37.1   38.2    1.1     90    100   24.0   24.3    0.3    130    130   35.6   36.7    1.2
   1995      2   35.3   36.7    1.4    1.3   1110   1143   30.8   30.3   -0.5     60     53   23.4   23.4    0.0     60     60   35.7   37.1    1.4
   1996      2   37.1   38.7    1.7    1.2   1040   1073   37.8   38.9    1.1     90     90   31.0   31.0    0.0     20     20   37.2   38.9    1.6
   1997      2   40.5   42.5    2.0    1.3    920    965   35.4   35.8    0.4    130    118   38.3   38.5    0.2     10     10   39.9   41.8    1.9
   1998      2   43.9   46.1    2.3    1.4    790    842   41.6   42.4    0.8    130    123    0.0    NaN    NaN      0      0   43.5   45.6    2.1
   1999      2   38.6   40.2    1.6    1.8   1490   1549   35.0   34.5   -0.5    160    153   32.2   32.2    0.0    860    860   44.8   47.2    2.4
   2000      2   37.5   38.8    1.3    2.3   2030   2092   36.1   36.7    0.6    350    347   32.5   32.5    0.1    890    890   40.2   41.9    1.7
   2001      2   40.5   41.8    1.3    2.4   2080   2150   35.8   35.7   -0.1    210    202   36.2   36.2    0.0    260    260   40.6   41.9    1.3
   2002      2   44.4   45.7    1.3    2.9   2010   2082   37.5   37.7    0.2    190    188   37.0   37.0    0.0    120    120   44.2   45.5    1.3
   2003      2   47.2   48.6    1.4    2.9   2070   2149   42.2   40.8   -1.3    100     93   38.1   38.1   -0.0    160    160   47.6   49.1    1.4
   2004      2   50.7   52.3    1.6    3.2   1990   2073   43.8   43.3   -0.6    160    156   38.4   38.4   -0.0     80     80   50.6   52.2    1.5
   2005      2   53.3   54.9    1.6    3.3   1930   2005   55.4   57.4    2.0    140    148   44.8   44.7   -0.0     80     80   53.8   55.5    1.7
   2006      2   56.8   58.4    1.6    3.2   1910   1992   53.0   50.3   -2.7     80     73   48.8   48.8   -0.0     60     60   56.9   58.4    1.5
   2007      2   59.4   61.3    1.9    4.4   1890   1973   58.8   57.7   -1.1    140    139   46.1   46.1   -0.0    120    120   60.2   62.0    1.7
   2008      2   61.9   64.1    2.2    4.8   1920   2012   61.5   55.8   -5.7     50     41   47.2   47.2   -0.0     80     80   62.5   64.6    2.1
   2009      2   64.9   67.4    2.5    5.1   1880   1981   61.8   59.3   -2.5    160    151   48.6   48.6   -0.0    120    120   65.7   68.0    2.3
   2010      2   66.5   69.5    3.0    6.2   1890   2002   66.3   61.6   -4.6    100     89   44.7   44.7   -0.0    110    110   67.7   70.5    2.8
   2011      2   68.8   72.3    3.5    7.3   1880   1999   70.9   65.4   -5.5     90     83   56.2   56.2    0.0     80     80   69.4   72.6    3.2
   2012      2   70.2   74.3    4.0    7.5   1880   2007   73.5   67.4   -6.1    110    102   47.5   47.6    0.0    110    110   71.8   75.4    3.6
   2013      2   71.3   75.9    4.6    9.1   1930   2069   67.6   63.2   -4.4    100     88   49.8   49.8   -0.0    150    150   72.8   77.3    4.5
   2014      2   72.7   78.0    5.3   11.2   1810   1935   75.5   77.4    1.9    220    234   51.5   51.5   -0.0    100    100   74.1   79.2    5.1
   2015      2   75.6   81.1    5.5   11.9   1830   1955    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   81.3    5.5
   2016      2    0.0   84.5   84.5   41.9      0   1975    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   84.8   84.8
   2017      2    0.0   88.0   88.0   44.8      0   1995    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   88.3   88.3
   2018      2    0.0   91.6   91.6   47.6      0   2015    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.0   92.0
   2019      2    0.0   95.5   95.5   50.5      0   2035    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   95.9   95.9
   2020      2    0.0   99.5   99.5   53.7      0   2055    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   99.8   99.8
   2021      2    0.0  103.8  103.8   57.5      0   2075    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  104.2  104.2
   2022      2    0.0  108.2  108.2   61.2      0   2095    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  108.7  108.7
   2023      2    0.0  112.9  112.9   65.0      0   2115    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  113.4  113.4
   2024      2    0.0  117.8  117.8   69.1      0   2135    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  118.3  118.3
   2025      2    0.0  122.7  122.7   72.9      0   2155    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  123.3  123.3
   2026      2    0.0  128.0  128.0   77.3      0   2175    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  128.7  128.7
   2027      2    0.0  133.6  133.6   81.8      0   2195    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  134.3  134.3
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.2    830    840   33.0   36.6    3.6     60     52   34.3   34.3   -0.0     30     30   40.4   41.3    0.9
