	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	  118.000000000	   84.436940500	   39.823442611	    0.054347826	   -0.004892996	    0.001703347	   -2.622180262	    0.508203140	   -0.001109352	    0.614285713	   78.966780617	   81.000000000	   83.223814788	   44.617738328	  129.000000000	   76.293759161	   34.139048725	   92.000000000	   71.950705984	   35.890417841	
r1	  138.000000000	   74.383456465	   27.204977321	    0.012345679	   -0.002211458	    0.001283112	   -2.908891572	    0.455908578	    0.000812212	    0.575342465	   79.348168708	   93.000000000	   76.899752545	   32.200151586	  126.000000000	   81.155333019	   38.365580347	   81.000000000	   87.806567345	   46.064784068	
r1	  157.000000000	   78.221050481	   35.188427691	    0.053763441	   -0.005026378	    0.002012588	   -2.888927551	    0.514438705	    0.002299929	    0.603999992	   78.839351425	   99.000000000	   72.059181213	   31.900445285	  151.000000000	   83.284628584	   35.079681704	   93.000000000	   79.883149793	   32.725238531	
r1	  118.000000000	   79.941788108	   35.096139913	    0.020202020	   -0.003881906	    0.001480365	   -2.919573916	    0.417929642	   -0.001337447	    0.589861746	   77.747997389	   89.000000000	   81.515752900	   36.463574566	  128.000000000	   75.128229886	   32.187691374	   99.000000000	   75.133176129	   32.789654155	
r1	  121.000000000	   81.745983329	   40.009488796	    0.022471910	   -0.003730754	    0.001906098	   -3.230476686	    0.553733563	   -0.000559343	    0.604761904	   82.605955351	   83.000000000	   84.719530037	   48.505352316	  127.000000000	   81.224642761	   30.872239400	   89.000000000	   83.775130797	   37.131203584	
r1	  139.000000000	   82.996640061	   37.023502226	    0.024096386	   -0.003367459	    0.001429085	   -3.344635772	    0.453790584	   -0.000452279	    0.513513512	   84.220403164	  108.000000000	   85.775907093	   43.820889972	  114.000000000	   82.746767864	   38.265739020	   83.000000000	   86.269837759	   47.075587324	
r1	  128.000000000	   85.667050868	   41.666435162	    0.083333333	   -0.001833307	    0.001807091	   -3.344210553	    0.664785627	    0.001399418	    0.656779660	   87.160522946	   81.000000000	   79.540987839	   41.224743968	  155.000000000	   91.142344518	   43.982676393	  108.000000000	   88.930563927	   45.335742516	
r1	   55.000000000	   87.406636186	   44.649590807	    0.061728395	   -0.000804214	    0.001968892	   -3.364625632	    0.582812485	    0.000000000	    0.000000000	   84.890499732	  136.000000000	   84.890499732	   43.436351943	    0.000000000	    0.000000000	    0.000000000	   81.000000000	   83.182012016	   42.788502175	
r1	  129.000000000	   22.407596876	    3.975003988	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.011190820	    0.139534880	   22.407596876	  111.000000000	   22.203693673	    3.839643776	   18.000000000	   23.664999962	    4.650710662	    0.000000000	 9999.000000000	 9999.000000000	
r1	    6.000000000	   20.133333524	    3.099287839	    0.000000000	   -0.010212017	    0.008296339	   -2.666104437	    0.569178709	   -0.008666227	    0.145299150	   23.305470051	  100.000000000	   23.467699966	    4.052522239	   17.000000000	   22.351176430	    3.774872090	  111.000000000	   23.476936890	    4.000355087	
r1	    8.000000000	   20.238749981	    2.024841585	    0.000000000	    0.000520928	    0.004665656	   -2.126011543	    0.306316193	   -0.011929389	    0.083333336	   26.086296293	   99.000000000	   26.387474715	    4.657903890	    9.000000000	   22.773333655	    5.760347365	  100.000000000	   26.554099998	    4.687502051	
r1	    8.000000000	   21.127499819	    1.951561808	    0.010101010	   -0.005162857	    0.005460026	   -2.250459361	    0.396408055	   -0.006199133	    0.056074761	   28.202897170	  101.000000000	   28.388712855	    5.329675205	    6.000000000	   25.074999809	    4.993743026	   99.000000000	   28.774646451	    5.118900441	
r1	   10.000000000	   21.191000175	    1.703085131	    0.009900990	   -0.004138906	    0.004195283	   -2.051141232	    0.333469404	   -0.005372307	    0.054054055	   30.622162106	  105.000000000	   30.850476147	    6.405448748	    6.000000000	   26.626666387	    4.335202823	  101.000000000	   31.555940515	    5.881058462	
r1	    5.000000000	   21.905999374	    1.368002066	    0.000000000	   -0.012071110	    0.004624260	   -2.329652924	    0.422571902	    0.000000000	    0.045454545	   32.173727417	  105.000000000	   32.389047750	    6.610813117	    5.000000000	   27.652000427	    8.832257537	  105.000000000	   32.662666848	    6.507769966	
r1	   10.000000000	   24.236000061	    2.518518811	    0.000000000	   -0.002903903	    0.004802815	   -2.512240631	    0.450652545	   -0.004425270	    0.069565217	   33.964347839	  107.000000000	   34.228224335	    7.489975747	    8.000000000	   30.434999704	    6.831446158	  105.000000000	   34.890857152	    7.129789605	
r1	   13.000000000	   24.020769119	    4.264062050	    0.000000000	   -0.007465338	    0.006423374	   -3.089429777	    0.663696824	    0.003049583	    0.074999999	   34.317833376	  111.000000000	   34.090991029	    8.071273216	    9.000000000	   37.115555657	   11.261354749	  107.000000000	   35.568878566	    7.826336605	
r1	    6.000000000	   23.418333371	    2.010517174	    0.000000000	   -0.014337039	    0.004876318	   -2.512375432	    0.543866997	   -0.003091950	    0.051282051	   35.086837654	  111.000000000	   35.319549612	    8.503778111	    6.000000000	   30.781666438	    7.516625636	  111.000000000	   35.717567616	    8.242346437	
r1	    2.000000000	   30.974999428	    4.702259825	    0.045045045	   -0.009019863	    0.003850052	   -2.532993773	    0.437877713	    0.000713604	    0.079646017	   37.121415856	  104.000000000	   37.061923009	    9.045063359	    9.000000000	   37.808888753	    5.466398237	  111.000000000	   37.232162098	    8.827334033	
r1	    1.000000000	   38.330001831	    0.000000000	    0.067307692	   -0.000999107	    0.003828902	   -2.540607797	    0.424966914	   -0.005701394	    0.123809534	   39.897523753	   92.000000000	   40.528043395	    9.964415100	   13.000000000	   35.435384750	    8.384284345	  104.000000000	   39.912596079	    9.937590989	
r1	    0.000000000	    0.000000000	    0.000000000	    0.043478261	    0.003634106	    0.003598967	   -2.819443403	    0.411382756	   -0.002352234	    0.141304345	   43.542173945	   79.000000000	   43.860379835	   11.047366252	   13.000000000	   41.608461233	    9.621633673	   92.000000000	   43.542173945	   10.836940704	
r1	   86.000000000	   32.237209320	    5.101811857	    0.683544304	   -0.002293642	    0.007247359	   -2.670644057	    0.466019267	   -0.002777703	    0.096969697	   38.252181926	  149.000000000	   38.598523607	   10.755422226	   16.000000000	   35.026875019	    9.213919687	   79.000000000	   44.800126788	   11.247338193	
r1	   89.000000000	   32.451011229	    6.477754888	    0.026845638	   -0.018330389	    0.004739646	   -2.591859132	    0.723855036	   -0.001649665	    0.147058822	   37.295920108	  203.000000000	   37.495068902	    9.671161794	   35.000000000	   36.140857097	   12.785820184	  149.000000000	   40.189858968	   10.866743942	
r1	   26.000000000	   36.197307953	    6.749375041	    0.014778325	    0.000141659	    0.003111637	   -2.607764942	    0.483118984	   -0.003656362	    0.091703052	   40.088240220	  208.000000000	   40.518495202	   10.465641268	   21.000000000	   35.826667059	    8.317007996	  203.000000000	   40.586586224	   10.645755386	
r1	   12.000000000	   37.015833378	    6.999509739	    0.009615385	    0.002326920	    0.002937022	   -2.633447823	    0.484125158	   -0.004124749	    0.086363641	   43.762322634	  201.000000000	   44.355482491	   11.517194410	   19.000000000	   37.487315730	    9.299965237	  208.000000000	   44.151543168	   11.586307821	
r1	   16.000000000	   38.104375243	    7.259158030	    0.000000000	    0.000689349	    0.003220907	   -2.807973132	    0.569577425	   -0.001396991	    0.046082952	   46.941198129	  207.000000000	   47.171642488	   12.709589122	   10.000000000	   42.170999908	    8.378304273	  201.000000000	   47.644626817	   12.650477980	
r1	    8.000000000	   38.363750219	    6.416794936	    0.009661836	    0.004513299	    0.002656138	   -2.989842878	    0.510574078	   -0.002359095	    0.074418601	   50.177279060	  199.000000000	   50.686658313	   14.261908602	   16.000000000	   43.841874599	   11.549699144	  207.000000000	   50.633840561	   14.197038666	
r1	    8.000000000	   44.763750076	    7.988277243	    0.000000000	    0.001945260	    0.002431605	   -3.032943596	    0.504537295	    0.000556851	    0.067632851	   53.487826076	  193.000000000	   53.348497371	   15.339850332	   14.000000000	   55.408571788	   15.329862183	  199.000000000	   53.838542699	   15.441340484	
